"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,25499.7022207017,66040.696678204,26003.3905572343,24996.0138841691
"Coal",2009,25499.7022207017,62325.5785618688,25989.0180109673,25010.3864304361
"Coal",2010,25499.7022207017,74029.5511344971,26032.9863135062,24966.4181278972
"Coal",2011,25499.7022207017,93138.2023631249,26097.8658422955,24901.5385991079
"Coal",2012,25499.7022207017,78227.5968822959,26047.8984776964,24951.505963707
"Coal",2013,25499.7022207017,65221.2823993639,26000.2559925039,24999.1484488995
"Coal",2014,25499.7022207017,60213.8374825177,25980.6569774854,25018.747463918
"Coal",2015,25499.7022207017,56327.0875545707,25964.875456765,25034.5289846384
"Coal",2016,25499.7022207017,55020.0656202744,25959.4468064086,25039.9576349948
"Coal",2017,25499.7022207017,53554.398555219,25953.281957341,25046.1224840625
"Coal",2018,25499.7022207017,52548.0936638846,25949.0002917182,25050.4041496852
"Coal",2019,25499.7022207017,52522.592671868,25948.8912588674,25050.513182536
"Coal",2020,25499.7022207017,52768.2465276985,25949.9404863576,25049.4639550458
"Oil & Gas",2008,10540.0375238818,19076.1874890308,10810.7460052005,10269.3290425631
"Oil & Gas",2009,10540.0375238818,20871.9387481817,10823.2011513042,10256.8738964594
"Oil & Gas",2010,10540.0375238818,23137.8781604177,10838.1758688511,10241.8991789125
"Oil & Gas",2011,10540.0375238818,26606.1214643006,10859.7406302434,10220.3344175202
"Oil & Gas",2012,10540.0375238818,21689.6725329229,10828.694839747,10251.3802080166
"Oil & Gas",2013,10540.0375238818,19483.126836968,10813.6181885072,10266.4568592564
"Oil & Gas",2014,10540.0375238818,20763.7366900059,10822.4662243857,10257.6088233779
"Oil & Gas",2015,10540.0375238818,24275.3671545479,10845.4163876902,10234.6586600734
"Oil & Gas",2016,10540.0375238818,26709.7422085919,10860.3625863863,10219.7124613773
"Oil & Gas",2017,10540.0375238818,27003.4498375329,10862.1189621794,10217.9560855842
"Oil & Gas",2018,10540.0375238818,25929.9458474583,10855.6519721689,10224.4230755947
"Oil & Gas",2019,10540.0375238818,25951.9028315653,10855.7855720432,10224.2894757204
"Oil & Gas",2020,10540.0375238818,26454.8778573868,10858.8306523789,10221.2443953848
"Smelter",2008,6716.14875133373,22390.6706944982,7009.43359673148,6422.86390593598
"Smelter",2009,6716.14875133373,25633.0668778778,7029.95122060071,6402.34628206675
"Smelter",2010,6716.14875133373,30767.7888330031,7059.94743891247,6372.35006375499
"Smelter",2011,6716.14875133373,31321.7156611319,7063.02841762134,6369.26908504612
"Smelter",2012,6716.14875133373,25476.3216339601,7028.99030418281,6403.30719848465
"Smelter",2013,6716.14875133373,25999.6180298763,7032.18693355792,6400.11056910954
"Smelter",2014,6716.14875133373,29067.9025948444,7050.31525864461,6381.98224402285
"Smelter",2015,6716.14875133373,29049.5775667928,7050.2099091785,6382.08759348896
"Smelter",2016,6716.14875133373,24925.6739161412,7025.59094127597,6406.70656139149
"Smelter",2017,6716.14875133373,27062.198299197,7038.58035801365,6393.71714465381
"Smelter",2018,6716.14875133373,27774.6893647035,7042.79725762673,6389.50024504074
"Smelter",2019,6716.14875133373,29763.7035311347,7054.29109338099,6378.00640928647
"Smelter",2020,6716.14875133373,31265.6759690855,7062.71796635843,6369.57953630903
