"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,0,-0.911110670737784,1.66442628498178,"0%","-91.1%","166.4%"
"Armenia","Smelter",2009,0,-0.476885112322146,0.588548638509986,"0%","-47.7%","58.9%"
"Aruba","Oil & Gas",2009,0,-0.333136197221608,0.404383442315819,"0%","-33.3%","40.4%"
"Australia","Coal",2009,0,-0.153158133134929,0.164963534938151,"0%","-15.3%","16.5%"
"Australia","Smelter",2009,0,-0.148535147329515,0.159951424646251,"0%","-14.9%","16%"
"Bangladesh","Coal",2009,0,-0.693313338522134,1.04057873898982,"0%","-69.3%","104.1%"
"Belarus","Oil & Gas",2009,0,-0.885451517010353,1.52262548669994,"0%","-88.5%","152.3%"
"Bosnia and Herzegovina","Coal",2009,0,-0.222897873036053,0.244505430532873,"0%","-22.3%","24.5%"
"Botswana","Coal",2009,0,-0.546421638501124,0.75460606083563,"0%","-54.6%","75.5%"
"Botswana","Smelter",2009,0,-0.26338017027514,0.302426394615474,"0%","-26.3%","30.2%"
"Brazil","Oil & Gas",2009,0,-1,Inf,"0%","-100%","Inf%"
"Brazil","Smelter",2009,0,-0.422511337614751,0.538062538645594,"0%","-42.3%","53.8%"
"Bulgaria","Coal",2009,0,-0.230468992436261,0.265864106739836,"0%","-23%","26.6%"
"Canada","Coal",2009,0,-0.365357438547826,0.436695951771729,"0%","-36.5%","43.7%"
"Canada","Oil & Gas",2009,0,-0.520193429484492,0.641663039620943,"0%","-52%","64.2%"
"Canada","Smelter",2009,0,-0.313561845168007,0.359858472447336,"0%","-31.4%","36%"
"Chile","Smelter",2009,0,-0.263026865877166,0.296732704601369,"0%","-26.3%","29.7%"
"China","Coal",2009,0,-0.0493107337348135,0.0507344695406684,"0%","-4.9%","5.1%"
"China","Oil & Gas",2009,0,-0.398629991329778,0.507415452704448,"0%","-39.9%","50.7%"
"China","Smelter",2009,0,-0.167992749215021,0.183536040191869,"0%","-16.8%","18.4%"
"Colombia","Oil & Gas",2009,0,-0.33630380204604,0.393609061030331,"0%","-33.6%","39.4%"
"Croatia","Coal",2009,0,-0.857890214358331,1.47365718913489,"0%","-85.8%","147.4%"
"Cuba","Oil & Gas",2009,0,-0.14689609586894,0.157633232299002,"0%","-14.7%","15.8%"
"Cuba","Smelter",2009,0,-0.16151607295624,0.174740437242436,"0%","-16.2%","17.5%"
"Curacao","Oil & Gas",2009,0,-0.342847240813567,0.405666629186386,"0%","-34.3%","40.6%"
"Cyprus","Oil & Gas",2009,0,-0.685309823596754,1.00963994485251,"0%","-68.5%","101%"
"Czech Republic","Coal",2009,0,-0.779694724584466,1.19672773519022,"0%","-78%","119.7%"
"Egypt","Oil & Gas",2009,0,-0.223501858612639,0.248766548212022,"0%","-22.4%","24.9%"
"Estonia","Oil & Gas",2009,0,-0.7990526796706,1.20051050530507,"0%","-79.9%","120.1%"
"France","Coal",2009,0,-0.996397426764282,2.44659296390358,"0%","-99.6%","244.7%"
"France","Oil & Gas",2009,0,-0.602167619793107,0.836347811250717,"0%","-60.2%","83.6%"
"Georgia","Smelter",2009,0,-0.619050312633903,0.836040166214317,"0%","-61.9%","83.6%"
"Germany","Coal",2009,0,-0.591772128274174,0.814034643036942,"0%","-59.2%","81.4%"
"Greece","Coal",2009,0,-0.29289530477064,0.349648913416268,"0%","-29.3%","35%"
"Greece","Oil & Gas",2009,0,-0.554868796111196,0.745861446642041,"0%","-55.5%","74.6%"
"Guatemala","Oil & Gas",2009,0,-0.516676288968257,0.676512924802267,"0%","-51.7%","67.7%"
"Honduras","Oil & Gas",2009,0,-0.577625003184568,0.78383534845768,"0%","-57.8%","78.4%"
"India","Coal",2009,0,-0.0361829230495915,0.0367933788461701,"0%","-3.6%","3.7%"
"India","Oil & Gas",2009,0,-0.423904131920977,0.535844447342566,"0%","-42.4%","53.6%"
"India","Smelter",2009,0,-0.180139386724648,0.19497494012589,"0%","-18%","19.5%"
"Indonesia","Coal",2009,0,-0.199716945647098,0.218907002266911,"0%","-20%","21.9%"
"Indonesia","Smelter",2009,0,-0.299685482011586,0.353722706515897,"0%","-30%","35.4%"
"Iran","Coal",2009,0,-0.300119155299225,0.357153760910904,"0%","-30%","35.7%"
"Iran","Oil & Gas",2009,0,-0.0879829954724041,0.0922338156337017,"0%","-8.8%","9.2%"
"Iran","Smelter",2009,0,-0.134210378366774,0.144006029202531,"0%","-13.4%","14.4%"
