"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,0,-0.109396519098452,0.115344319558267,"0%","-10.9%","11.5%"
"China",2009,0,-0.0473639716573974,0.0486676906154815,"0%","-4.7%","4.9%"
"Europe",2009,0,-0.079192257155592,0.0823899738338334,"0%","-7.9%","8.2%"
"India",2009,0,-0.0354941421345309,0.0360800879474477,"0%","-3.5%","3.6%"
"Mexico",2009,0,-0.090639366112373,0.0949554381958695,"0%","-9.1%","9.5%"
"Russia",2009,0,-0.100822676546741,0.10569546931893,"0%","-10.1%","10.6%"
"Saudi Arabia",2009,0,-0.0743078739957503,0.0772656178903142,"0%","-7.4%","7.7%"
"South Africa",2009,0,-0.104855592461987,0.110605660133657,"0%","-10.5%","11.1%"
"Australia",2010,0,-0.118609289179575,0.125552097491584,"0%","-11.9%","12.6%"
"China",2010,0,-0.0472602765891555,0.0483088450247195,"0%","-4.7%","4.8%"
"Europe",2010,0,-0.0845267222035312,0.0879902024559065,"0%","-8.5%","8.8%"
"India",2010,0,-0.0402705436020967,0.0409915562753356,"0%","-4%","4.1%"
"Mexico",2010,0,-0.0868054248153582,0.0912769090640386,"0%","-8.7%","9.1%"
"Russia",2010,0,-0.111015129663954,0.117028175198636,"0%","-11.1%","11.7%"
"Saudi Arabia",2010,0,-0.076990685887113,0.0798935650895383,"0%","-7.7%","8%"
"South Africa",2010,0,-0.104402401755055,0.110496624990134,"0%","-10.4%","11%"
"Australia",2011,0,-0.127845024959538,0.136119288321305,"0%","-12.8%","13.6%"
"China",2011,0,-0.0540174890156417,0.0552991714498434,"0%","-5.4%","5.5%"
"Europe",2011,0,-0.0902526719151646,0.0943839451952366,"0%","-9%","9.4%"
"India",2011,0,-0.0441925155341404,0.0451562980102655,"0%","-4.4%","4.5%"
"Mexico",2011,0,-0.0823689528812583,0.0859839689581134,"0%","-8.2%","8.6%"
"Russia",2011,0,-0.11575583974043,0.123016678590952,"0%","-11.6%","12.3%"
"Saudi Arabia",2011,0,-0.080490005589564,0.0838672745531819,"0%","-8%","8.4%"
"South Africa",2011,0,-0.103681683671528,0.109365592140517,"0%","-10.4%","10.9%"
"Australia",2012,0,-0.127029631352282,0.136539844086167,"0%","-12.7%","13.7%"
"China",2012,0,-0.0557620937138674,0.0575296652303909,"0%","-5.6%","5.8%"
"Europe",2012,0,-0.087183563562122,0.0917505653417137,"0%","-8.7%","9.2%"
"India",2012,0,-0.0438535192826349,0.0449263978535421,"0%","-4.4%","4.5%"
"Mexico",2012,0,-0.0819747766519746,0.085589914481403,"0%","-8.2%","8.6%"
"Russia",2012,0,-0.110539181465115,0.117821666257653,"0%","-11.1%","11.8%"
"Saudi Arabia",2012,0,-0.0766777194980781,0.0801919626692145,"0%","-7.7%","8%"
"South Africa",2012,0,-0.104401233861186,0.110296952838655,"0%","-10.4%","11%"
"Australia",2013,0,-0.120857828144522,0.12905646346452,"0%","-12.1%","12.9%"
"China",2013,0,-0.0502623413256558,0.0517685897022895,"0%","-5%","5.2%"
"Europe",2013,0,-0.0804677736442051,0.0840643488369095,"0%","-8%","8.4%"
"India",2013,0,-0.0429680295342436,0.0439057139893417,"0%","-4.3%","4.4%"
"Mexico",2013,0,-0.0828012631333394,0.0863484936026064,"0%","-8.3%","8.6%"
"Russia",2013,0,-0.10638703721221,0.112398732059252,"0%","-10.6%","11.2%"
"Saudi Arabia",2013,0,-0.0704753546378328,0.0732362479077553,"0%","-7%","7.3%"
"South Africa",2013,0,-0.0995556554226047,0.105418274575103,"0%","-10%","10.5%"
"Australia",2014,0,-0.116424060915275,0.124153675764232,"0%","-11.6%","12.4%"
"China",2014,0,-0.0443518166049967,0.0455007998919832,"0%","-4.4%","4.6%"
"Europe",2014,0,-0.0800100147117255,0.0833181553315314,"0%","-8%","8.3%"
"India",2014,0,-0.0451006475560023,0.0460882951865398,"0%","-4.5%","4.6%"
"Mexico",2014,0,-0.0855475891683141,0.0892998611606681,"0%","-8.6%","8.9%"
"Russia",2014,0,-0.110935996088772,0.117135949182554,"0%","-11.1%","11.7%"
"Saudi Arabia",2014,0,-0.0706140261367555,0.0731210520183694,"0%","-7.1%","7.3%"
"South Africa",2014,0,-0.0928790477809607,0.097728579841494,"0%","-9.3%","9.8%"
"Australia",2015,0,-0.1125105252165,0.119539648555303,"0%","-11.3%","12%"
"China",2015,0,-0.03840102155203,0.0393113740331841,"0%","-3.8%","3.9%"
"Europe",2015,0,-0.0847228152071922,0.0882203366372345,"0%","-8.5%","8.8%"
"India",2015,0,-0.0475203318807857,0.0486541372095772,"0%","-4.8%","4.9%"
"Mexico",2015,0,-0.0906350372455414,0.0946826394526488,"0%","-9.1%","9.5%"
"Russia",2015,0,-0.116127989951678,0.12320278415264,"0%","-11.6%","12.3%"
"Saudi Arabia",2015,0,-0.0754929753320177,0.0782569339892334,"0%","-7.5%","7.8%"
"South Africa",2015,0,-0.0928418934376114,0.097258281077121,"0%","-9.3%","9.7%"
"Australia",2016,0,-0.112036581007166,0.118741096795907,"0%","-11.2%","11.9%"
"China",2016,0,-0.0325642741748419,0.0331943391435454,"0%","-3.3%","3.3%"
"Europe",2016,0,-0.0904083282034114,0.0945430161480787,"0%","-9%","9.5%"
"India",2016,0,-0.050667627246507,0.0518935196344383,"0%","-5.1%","5.2%"
"Mexico",2016,0,-0.0934136424393298,0.0981296189015775,"0%","-9.3%","9.8%"
"Russia",2016,0,-0.113932013931151,0.121471851898336,"0%","-11.4%","12.1%"
"Saudi Arabia",2016,0,-0.0878373436415639,0.0911051982318971,"0%","-8.8%","9.1%"
"South Africa",2016,0,-0.0915484919321005,0.0963525289570697,"0%","-9.2%","9.6%"
"Australia",2017,0,-0.113467721103487,0.120350045505061,"0%","-11.3%","12%"
"China",2017,0,-0.0283021600350264,0.0287751337792619,"0%","-2.8%","2.9%"
"Europe",2017,0,-0.0921560068819426,0.0967493717348369,"0%","-9.2%","9.7%"
