"SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Coal",2005,50,0.164991542068486,NA,NA,NA,NA
"Coal",2006,50,0.175024204143185,2005,0.164991542068486,0.0608071295590068,0.0100326620746987
"Coal",2007,50,0.185322063123853,2006,0.175024204143185,0.0588367707831066,0.0102978589806682
"Coal",2008,50,0.177414822195033,2007,0.185322063123853,-0.0426675636755437,-0.00790724092882011
"Coal",2009,50,0.134144580125355,2008,0.177414822195033,-0.243893049827094,-0.0432702420696782
"Coal",2010,50,0.132010944845694,2009,0.134144580125355,-0.0159054900143283,-0.0021336352796601
"Coal",2011,50,0.150413863609953,2010,0.132010944845694,0.139404492451514,0.0184029187642589
"Coal",2012,50,0.124744388250841,2011,0.150413863609953,-0.170658972138879,-0.0256694753591122
"Coal",2013,50,0.127248603474157,2012,0.124744388250841,0.0200747725683641,0.00250421522331534
"Coal",2014,50,0.104042979464352,2013,0.127248603474157,-0.1823644690491,-0.0232056240098041
"Coal",2015,50,0.0973600662766458,2014,0.104042979464352,-0.0642322357751811,-0.00668291318770661
"Coal",2016,50,0.0878915959501233,2015,0.0973600662766458,-0.0972520940938772,-0.00946847032652248
"Coal",2017,50,0.0862861598251293,2016,0.0878915959501233,-0.0182660936764087,-0.00160543612499402
"Coal",2018,50,0.0789828322590631,2017,0.0862861598251293,-0.084640776468294,-0.00730332756606626
"Coal",2019,50,0.0791457387222411,2018,0.0789828322590631,0.00206255534929064,0.000162906463178056
"Coal",2020,2,0.0508169726360843,2019,0.0791457387222411,-0.357931665602055,-0.0283287660861568
"Coal",2020,20,0.0487701532842863,2020,0.0508169726360843,-0.0402782622738266,-0.00204681935179808
"Coal",2020,50,0.0598176786940696,2020,0.0487701532842863,0.226522261379541,0.0110475254097834
"Coal",2020,200,0.0114580039601302,2020,0.0598176786940696,-0.808451210239522,-0.0483596747339395
"Oil & Gas",2005,50,0.107563811907405,NA,NA,NA,NA
"Oil & Gas",2006,50,0.110516975608818,2005,0.107563811907405,0.0274549929855095,0.00295316370141248
"Oil & Gas",2007,50,0.109845229912625,2006,0.110516975608818,-0.00607821280388549,-0.000671745696192216
"Oil & Gas",2008,50,0.115067037015546,2007,0.109845229912625,0.0475378594689442,0.00522180710292025
"Oil & Gas",2009,50,0.0923937566280707,2008,0.115067037015546,-0.197044096863395,-0.0226732803874751
"Oil & Gas",2010,50,0.116495639068628,2009,0.0923937566280707,0.260860509629223,0.0241018824405569
"Oil & Gas",2011,50,0.118752420601548,2010,0.116495639068628,0.0193722404629306,0.00225678153292022
"Oil & Gas",2012,50,0.101041484193456,2011,0.118752420601548,-0.149141687540983,-0.0177109364080914
"Oil & Gas",2013,50,0.0989849760714617,2012,0.101041484193456,-0.0203531068294414,-0.00205650812199473
"Oil & Gas",2014,50,0.0994305079733309,2013,0.0989849760714617,0.00450100529950666,0.000445531901869189
"Oil & Gas",2015,50,0.10774813869453,2014,0.0994305079733309,0.0836527026838657,0.00831763072119879
"Oil & Gas",2016,50,0.118050920076452,2015,0.10774813869453,0.0956191123740053,0.0103027813819221
"Oil & Gas",2017,50,0.113132474802748,2016,0.118050920076452,-0.0416637606087183,-0.00491844527370422
"Oil & Gas",2018,50,0.103430125515957,2017,0.113132474802748,-0.085760956822581,-0.00970234928679017
"Oil & Gas",2019,50,0.0990959102266233,2018,0.103430125515957,-0.0419047667951001,-0.00433421528933413
"Oil & Gas",2020,2,0.118869607598718,2019,0.0990959102266233,0.199541003527531,0.0197736973720946
"Oil & Gas",2020,20,0.117039388402574,2020,0.118869607598718,-0.0153968641195663,-0.00183021919614362
"Oil & Gas",2020,50,0.0716199395135007,2020,0.117039388402574,-0.388069772996819,-0.0454194488890735
"Oil & Gas",2020,200,0.0618016012866214,2020,0.0716199395135007,-0.137089451535051,-0.00981833822687932
"Smelter",2005,50,0.132528377138859,NA,NA,NA,NA
"Smelter",2006,50,0.140022667742381,2005,0.132528377138859,0.0565485729570923,0.0074942906035218
"Smelter",2007,50,0.125061979242456,2006,0.140022667742381,-0.106844761217159,-0.0149606884999243
"Smelter",2008,50,0.122687851500215,2007,0.125061979242456,-0.0189836092201817,-0.00237412774224127
"Smelter",2009,50,0.0989469387281696,2008,0.122687851500215,-0.193506630703399,-0.0237409127720456
"Smelter",2010,50,0.0903752276238076,2009,0.0989469387281696,-0.0866293714039053,-0.00857171110436207
"Smelter",2011,50,0.102133945127228,2010,0.0903752276238076,0.13010996279165,0.0117587175034205
"Smelter",2012,50,0.0887928734246316,2011,0.102133945127228,-0.130623287742165,-0.0133410717025964
"Smelter",2013,50,0.0887097590183261,2012,0.0887928734246316,-0.000936048165803714,-8.31144063055678e-05
"Smelter",2014,50,0.0909141115288066,2013,0.0887097590183261,0.0248490418063825,0.0022043525104805
"Smelter",2015,50,0.0805922973795764,2014,0.0909141115288066,-0.113533685537472,-0.0103218141492302
"Smelter",2016,50,0.0762236667678353,2015,0.0805922973795764,-0.0542065526580728,-0.00436863061174107
"Smelter",2017,50,0.0852635234866538,2016,0.0762236667678353,0.118596455696003,0.00903985671881846
"Smelter",2018,50,0.0812083862790985,2017,0.0852635234866538,-0.0475600472714457,-0.00405513720755528
"Smelter",2019,50,0.0785707589688366,2018,0.0812083862790985,-0.0324797404691289,-0.00263762731026189
"Smelter",2020,2,0.0739538314938679,2019,0.0785707589688366,-0.0587613959132039,-0.00461692747496872
"Smelter",2020,20,0.0832897080334573,2020,0.0739538314938679,0.126239254288853,0.00933587653958937
"Smelter",2020,50,0.0632025105379974,2020,0.0832897080334573,-0.241172624682402,-0.0200871974954598
"Smelter",2020,200,0.0429945448214424,2020,0.0632025105379974,-0.319733591981382,-0.020207965716555
