"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Armenia",2005,50,-0.00520309882298708,NA,NA,NA,NA
"Armenia",2006,50,0.00156644998135178,2005,-0.00520309882298708,-1.30106097051843,0.00676954880433886
"Armenia",2007,50,0.0132964277362233,2006,0.00156644998135178,7.48825554247766,0.0117299777548715
"Armenia",2008,50,-0.000339675464161117,2007,0.0132964277362233,-1.02554637011532,-0.0136361032003844
"Armenia",2009,50,0.0166273402011082,2008,-0.000339675464161117,-49.9506660193196,0.0169670156652693
"Armenia",2010,50,0.0102494756854731,2009,0.0166273402011082,-0.383576954491496,-0.0063778645156351
"Armenia",2011,50,0.0172404709201314,2010,0.0102494756854731,0.682083205930894,0.00699099523465824
"Armenia",2012,50,0.0260881974815256,2011,0.0172404709201314,0.513195179086608,0.00884772656139426
"Armenia",2013,50,3.74633417570729e-06,2012,0.0260881974815256,-0.99985639735446,-0.0260844511473499
"Armenia",2014,50,0.00839370114473434,2013,3.74633417570729e-06,2239.5105233704,0.00838995481055863
"Armenia",2015,50,0.0242387943392268,2014,0.00839370114473434,1.88773616325769,0.0158450931944925
"Armenia",2016,50,0.0112814975009455,2015,0.0242387943392268,-0.534568537400884,-0.0129572968382813
"Armenia",2017,50,0.00341317512692087,2016,0.0112814975009455,-0.697453717767982,-0.00786832237402465
"Armenia",2018,50,-0.0104881462164441,2017,0.00341317512692087,-4.07284151162374,-0.013901321343365
"Armenia",2019,50,-0.0238744713383858,2018,-0.0104881462164441,1.27632899519971,-0.0133863251219417
"Armenia",2020,2,-0.0577419788266222,2019,-0.0238744713383858,1.41856575620938,-0.0338675074882364
"Armenia",2020,20,-0.0577419788266222,2020,-0.0577419788266222,0,0
"Armenia",2020,50,-0.0124936950978255,2020,-0.0577419788266222,-0.783628906530213,0.0452482837287966
"Armenia",2020,200,-0.030900898657056,2020,-0.0124936950978255,1.47331941552136,-0.0184072035592304
"Aruba",2005,50,0.0703222756131082,NA,NA,NA,NA
"Aruba",2006,50,0.0505024644817632,2005,0.0703222756131082,-0.281842573473982,-0.019819811131345
"Aruba",2007,50,0.0458472260057087,2006,0.0505024644817632,-0.0921784416626952,-0.00465523847605455
"Aruba",2008,50,0.0560261402706395,2007,0.0458472260057087,0.222018105602799,0.0101789142649308
"Aruba",2009,50,0.0208815062998693,2008,0.0560261402706395,-0.627289936465385,-0.0351446339707702
