"COUNTRY","SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Armenia","Smelter",2005,50,-0.00520309882298708,NA,NA,NA,NA
"Armenia","Smelter",2006,50,0.00156644998135178,2005,-0.00520309882298708,-1.30106097051843,0.00676954880433886
"Armenia","Smelter",2007,50,0.0132964277362233,2006,0.00156644998135178,7.48825554247766,0.0117299777548715
"Armenia","Smelter",2008,50,-0.000339675464161117,2007,0.0132964277362233,-1.02554637011532,-0.0136361032003844
"Armenia","Smelter",2009,50,0.0166273402011082,2008,-0.000339675464161117,-49.9506660193196,0.0169670156652693
"Armenia","Smelter",2010,50,0.0102494756854731,2009,0.0166273402011082,-0.383576954491496,-0.0063778645156351
"Armenia","Smelter",2011,50,0.0172404709201314,2010,0.0102494756854731,0.682083205930894,0.00699099523465824
"Armenia","Smelter",2012,50,0.0260881974815256,2011,0.0172404709201314,0.513195179086608,0.00884772656139426
"Armenia","Smelter",2013,50,3.74633417570729e-06,2012,0.0260881974815256,-0.99985639735446,-0.0260844511473499
"Armenia","Smelter",2014,50,0.00839370114473434,2013,3.74633417570729e-06,2239.5105233704,0.00838995481055863
"Armenia","Smelter",2015,50,0.0242387943392268,2014,0.00839370114473434,1.88773616325769,0.0158450931944925
"Armenia","Smelter",2016,50,0.0112814975009455,2015,0.0242387943392268,-0.534568537400884,-0.0129572968382813
"Armenia","Smelter",2017,50,0.00341317512692087,2016,0.0112814975009455,-0.697453717767982,-0.00786832237402465
"Armenia","Smelter",2018,50,-0.0104881462164441,2017,0.00341317512692087,-4.07284151162374,-0.013901321343365
"Armenia","Smelter",2019,50,-0.0238744713383858,2018,-0.0104881462164441,1.27632899519971,-0.0133863251219417
"Armenia","Smelter",2020,2,-0.0577419788266222,2019,-0.0238744713383858,1.41856575620938,-0.0338675074882364
"Armenia","Smelter",2020,20,-0.0577419788266222,2020,-0.0577419788266222,0,0
"Armenia","Smelter",2020,50,-0.0124936950978255,2020,-0.0577419788266222,-0.783628906530213,0.0452482837287966
"Armenia","Smelter",2020,200,-0.030900898657056,2020,-0.0124936950978255,1.47331941552136,-0.0184072035592304
"Aruba","Oil & Gas",2005,50,0.0703222756131082,NA,NA,NA,NA
"Aruba","Oil & Gas",2006,50,0.0505024644817632,2005,0.0703222756131082,-0.281842573473982,-0.019819811131345
"Aruba","Oil & Gas",2007,50,0.0458472260057087,2006,0.0505024644817632,-0.0921784416626952,-0.00465523847605455
"Aruba","Oil & Gas",2008,50,0.0560261402706395,2007,0.0458472260057087,0.222018105602799,0.0101789142649308
"Aruba","Oil & Gas",2009,50,0.0208815062998693,2008,0.0560261402706395,-0.627289936465385,-0.0351446339707702
"Aruba","Oil & Gas",2010,50,0.0266099401197949,2009,0.0208815062998693,0.274330488311634,0.0057284338199256
"Aruba","Oil & Gas",2011,50,0.0418303208437435,2010,0.0266099401197949,0.57198102120592,0.0152203807239487
"Aruba","Oil & Gas",2012,50,0.0277226221589469,2011,0.0418303208437435,-0.337260111809701,-0.0141076986847966
"Aruba","Oil & Gas",2013,50,0.0212224897136672,2012,0.0277226221589469,-0.234470332857094,-0.00650013244527975
"Aruba","Oil & Gas",2014,50,0.0193392672871975,2013,0.0212224897136672,-0.0887371110495535,-0.00188322242646969
"Aruba","Oil & Gas",2015,50,0.0312672228222392,2014,0.0193392672871975,0.616773911746799,0.0119279555350417
"Aruba","Oil & Gas",2016,50,0.0175575870754274,2015,0.0312672228222392,-0.438466691613579,-0.0137096357468118
"Aruba","Oil & Gas",2017,50,0.0256559313543341,2016,0.0175575870754274,0.461244716834737,0.00809834427890674
"Aruba","Oil & Gas",2018,50,0.0107796405396052,2017,0.0256559313543341,-0.579838268557569,-0.0148762908147289
"Aruba","Oil & Gas",2019,50,0.0138207421935448,2018,0.0107796405396052,0.282115311987111,0.00304110165393962
"Aruba","Oil & Gas",2020,2,-0.120719314366579,2019,0.0138207421935448,-9.73464772557316,-0.134540056560124
"Aruba","Oil & Gas",2020,20,-0.120719314366579,2020,-0.120719314366579,0,0
"Aruba","Oil & Gas",2020,50,0.00854081388564425,2020,-0.120719314366579,-1.07074935713857,0.129260128252223
"Aruba","Oil & Gas",2020,200,0.00216315778992512,2020,0.00854081388564425,-0.746726972524124,-0.00637765609571913
"Australia","Coal",2005,50,0.042814688725696,NA,NA,NA,NA
"Australia","Coal",2006,50,0.0490012462140762,2005,0.042814688725696,0.144496145423739,0.00618655748838026
"Australia","Coal",2007,50,0.0543658872158596,2006,0.0490012462140762,0.109479685033854,0.0053646410017834
"Australia","Coal",2008,50,0.057732162918389,2007,0.0543658872158596,0.0619188957436414,0.00336627570252938
"Australia","Coal",2009,50,0.0555531459975257,2008,0.057732162918389,-0.0377435524794667,-0.00217901692086334
"Australia","Coal",2010,50,0.0453423242234838,2009,0.0555531459975257,-0.183802763834413,-0.0102108217740419
"Australia","Coal",2011,50,0.0480959418087586,2010,0.0453423242234838,0.0607295199889343,0.0027536175852748
"Australia","Coal",2012,50,0.0350802300092807,2011,0.0480959418087586,-0.270619751064063,-0.0130157117994779
"Australia","Coal",2013,50,0.0455086600093116,2012,0.0350802300092807,0.297273706508538,0.0104284300000309
"Australia","Coal",2014,50,0.0484149191836893,2013,0.0455086600093116,0.0638616732240208,0.00290625917437772
"Australia","Coal",2015,50,0.0419591626070362,2014,0.0484149191836893,-0.133342297901182,-0.00645575657665315
"Australia","Coal",2016,50,0.0445606714399683,2015,0.0419591626070362,0.0620009712132788,0.00260150883293214
"Australia","Coal",2017,50,0.0418918610062027,2016,0.0445606714399683,-0.0598916117626508,-0.00266881043376562
"Australia","Coal",2018,50,0.0413687943057549,2017,0.0418918610062027,-0.0124861175389257,-0.000523066700447786
"Australia","Coal",2019,50,0.0347785388605409,2018,0.0413687943057549,-0.159304991982742,-0.00659025544521399
"Australia","Coal",2020,2,0.0192103090249941,2019,0.0347785388605409,-0.447638985006648,-0.0155682298355468
"Australia","Coal",2020,20,0.0104145630655333,2020,0.0192103090249941,-0.457865927508863,-0.00879574595946081
"Australia","Coal",2020,50,0.0372425842291505,2020,0.0104145630655333,2.57601024592225,0.0268280211636172
"Australia","Coal",2020,200,0.000984008336225935,2020,0.0372425842291505,-0.973578408786796,-0.0362585758929246
"Australia","Smelter",2005,50,0.073691098326019,NA,NA,NA,NA
"Australia","Smelter",2006,50,0.0685348533454839,2005,0.073691098326019,-0.069971069744723,-0.00515624498053512
"Australia","Smelter",2007,50,0.0639153908759294,2006,0.0685348533454839,-0.0674031130739833,-0.00461946246955451
"Australia","Smelter",2008,50,0.0729072104843275,2007,0.0639153908759294,0.140683166998897,0.00899181960839814
"Australia","Smelter",2009,50,0.069434550243484,2008,0.0729072104843275,-0.0476312317776858,-0.00347266024084353
"Australia","Smelter",2010,50,0.059391607992791,2009,0.069434550243484,-0.14463897606416,-0.010042942250693
"Australia","Smelter",2011,50,0.073515922709825,2010,0.059391607992791,0.237816674684889,0.014124314717034
"Australia","Smelter",2012,50,0.0566120152885033,2011,0.073515922709825,-0.229935322828541,-0.0169039074213217
"Australia","Smelter",2013,50,0.0766257540237698,2012,0.0566120152885033,0.353524576598687,0.0200137387352665
"Australia","Smelter",2014,50,0.0537871747294138,2013,0.0766257540237698,-0.298053566784758,-0.0228385792943561
"Australia","Smelter",2015,50,0.060732332953627,2014,0.0537871747294138,0.129122941652023,0.00694515822421327
"Australia","Smelter",2016,50,0.0502765540836224,2015,0.060732332953627,-0.172161653628361,-0.0104557788700046
"Australia","Smelter",2017,50,0.0496681015711326,2016,0.0502765540836224,-0.0121021124772743,-0.000608452512489761
"Australia","Smelter",2018,50,0.0574217377766922,2017,0.0496681015711326,0.15610897055236,0.00775363620555958
"Australia","Smelter",2019,50,0.0594178131219567,2018,0.0574217377766922,0.034761667315382,0.00199607534526448
"Australia","Smelter",2020,2,0.0569658393159192,2019,0.0594178131219567,-0.0412666450884818,-0.00245197380603752
"Australia","Smelter",2020,20,0.0619148368293301,2020,0.0569658393159192,0.0868765838060406,0.00494899751341089
"Australia","Smelter",2020,50,0.0522522630736719,2020,0.0619148368293301,-0.156062330944896,-0.00966257375565813
"Australia","Smelter",2020,200,0.00711445129566233,2020,0.0522522630736719,-0.863844149953248,-0.0451378117780096
"Bangladesh","Coal",2005,50,0.0309511396501006,NA,NA,NA,NA
"Bangladesh","Coal",2006,50,0.0495697140380512,2005,0.0309511396501006,0.601547296753255,0.0186185743879505
"Bangladesh","Coal",2007,50,0.0452088213001355,2006,0.0495697140380512,-0.0879749424127825,-0.00436089273791565
"Bangladesh","Coal",2008,50,0.0526715383528311,2007,0.0452088213001355,0.165072143844484,0.00746271705269555
"Bangladesh","Coal",2009,50,0.0668623741437187,2008,0.0526715383528311,0.26942132762152,0.0141908357908876
"Bangladesh","Coal",2010,50,0.0547150000357292,2009,0.0668623741437187,-0.181677277595304,-0.0121473741079895
"Bangladesh","Coal",2011,50,0.0703681553990832,2010,0.0547150000357292,0.286085266437584,0.015653155363354
"Bangladesh","Coal",2012,50,0.0981677422032895,2011,0.0703681553990832,0.395059194696022,0.0277995868042063
"Bangladesh","Coal",2013,50,0.0529546907785288,2012,0.0981677422032895,-0.460569331737627,-0.0452130514247607
"Bangladesh","Coal",2014,50,0.0789830641106016,2013,0.0529546907785288,0.491521580985727,0.0260283733320728
"Bangladesh","Coal",2015,50,0.067449882879807,2014,0.0789830641106016,-0.146020939560467,-0.0115331812307946
"Bangladesh","Coal",2016,50,0.0612961678527254,2015,0.067449882879807,-0.091233887507963,-0.00615371502708159
"Bangladesh","Coal",2017,50,0.115445549949028,2016,0.0612961678527254,0.883405667812803,0.0541493820963026
"Bangladesh","Coal",2018,50,0.088051880155732,2017,0.115445549949028,-0.237286493982583,-0.027393669793296
"Bangladesh","Coal",2019,50,0.0769660569543705,2018,0.088051880155732,-0.125901039043739,-0.0110858232013615
"Bangladesh","Coal",2020,2,0.0754527151584625,2019,0.0769660569543705,-0.0196624571375037,-0.00151334179590798
"Bangladesh","Coal",2020,20,0.148625603294931,2020,0.0754527151584625,0.96978469207893,0.0731728881364688
"Bangladesh","Coal",2020,50,0.101825013012472,2020,0.148625603294931,-0.31488915264208,-0.0468005902824589
"Bangladesh","Coal",2020,200,0.0319801070688665,2020,0.101825013012472,-0.685930734278921,-0.0698449059436059
"Belarus","Oil & Gas",2005,50,0.00167896356180209,NA,NA,NA,NA
"Belarus","Oil & Gas",2006,50,0.0107420657692655,2005,0.00167896356180209,5.3980338904649,0.00906310220746336
"Belarus","Oil & Gas",2007,50,-0.0218314076252725,2006,0.0107420657692655,-3.03232861296895,-0.032573473394538
"Belarus","Oil & Gas",2008,50,-0.0123465238117404,2007,-0.0218314076252725,-0.434460478973064,0.00948488381353209
"Belarus","Oil & Gas",2009,50,-0.0158271942934953,2008,-0.0123465238117404,0.281915017929584,-0.00348067048175484
"Belarus","Oil & Gas",2010,50,-0.0112561682949264,2009,-0.0158271942934953,-0.288808358184338,0.0045710259985689
"Belarus","Oil & Gas",2011,50,-0.0314263200482216,2010,-0.0112561682949264,1.79191988115412,-0.0201701517532952
"Belarus","Oil & Gas",2012,50,-0.0140257325751509,2011,-0.0314263200482216,-0.553694719788085,0.0174005874730707
"Belarus","Oil & Gas",2013,50,-0.0151405805086136,2012,-0.0140257325751509,0.079485896903373,-0.00111484793346272
"Belarus","Oil & Gas",2014,50,0.0196777974561512,2013,-0.0151405805086136,-2.29967258817827,0.0348183779647648
"Belarus","Oil & Gas",2015,50,-0.00577701205023861,2014,0.0196777974561512,-1.29358021715142,-0.0254548095063898
