"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,32253.0542324673,66982.0510946195,32760.3196930351,31745.7887718994
"Coal",2009,27835.7285048637,62769.6285549847,28326.7843113224,27344.6726984049
"Coal",2010,27201.5760942879,74510.8379698255,27736.590893284,26666.5612952917
"Coal",2011,27457.9405331475,93639.5399845535,28057.7118702457,26858.1691960492
"Coal",2012,26651.4664085716,78784.6740529763,27201.6111202993,26101.3216968439
"Coal",2013,24774.6184435315,65598.3933398114,25276.6172362136,24272.6196508495
"Coal",2014,24391.8908244157,60525.1456074795,24874.0872567601,23909.6943920712
"Coal",2015,22566.0797639767,56534.7341697745,23032.1096286706,22100.0498992828
"Coal",2016,22076.674252593,55197.5564207038,22537.1597928066,21616.1887123795
"Coal",2017,21591.2269612022,53744.2060981014,22045.6097757391,21136.8441466653
"Coal",2018,20604.6543394116,52732.3874255632,21054.7395974839,20154.5690813392
"Coal",2019,21259.1895448924,52731.1712129527,21709.2696125822,20809.1094772026
"Coal",2020,20090.5684740382,52966.7748749316,20541.6529033411,19639.4840447353
"Oil & Gas",2008,10560.7298834797,19556.7930194476,10834.8272677494,10286.6324992099
"Oil & Gas",2009,10550.2447028251,21153.0928321727,10835.3091190963,10265.1802865538
"Oil & Gas",2010,10222.2805676995,23436.1288064893,10522.3342835955,9922.22685180345
"Oil & Gas",2011,10435.0222718907,27012.8689952316,10757.159878407,10112.8846653743
"Oil & Gas",2012,9897.79757248256,22389.2404236321,10191.0730505086,9604.52209445648
"Oil & Gas",2013,9849.63377060634,20052.8564269103,10127.1856635014,9572.0818777113
"Oil & Gas",2014,10025.2913504352,21123.5907504876,10310.1569085974,9740.42579227293
"Oil & Gas",2015,9808.81505623607,24728.8193495595,10117.0328889669,9500.59722350528
"Oil & Gas",2016,10583.0102479394,27205.600724015,10906.2950074648,10259.725488414
"Oil & Gas",2017,10277.9542188926,27449.5291779363,10602.6850478725,9953.2233899127
"Oil & Gas",2018,10021.6132665632,26369.3291840042,10339.8905277574,9703.33600536902
"Oil & Gas",2019,10097.2792240822,26346.7109484248,10415.4199551738,9779.13849299065
"Oil & Gas",2020,9311.04253402426,26855.4622682115,9632.24020501451,8989.84486303401
"Smelter",2008,7606.3636527842,22933.0380181686,7903.17935124133,7309.54795432706
"Smelter",2009,7402.45129283286,25900.9051026228,7717.88895235093,7087.0136333148
"Smelter",2010,6657.7952164303,31083.8800571135,7003.35539010112,6312.23504275948
"Smelter",2011,6690.54073153819,31575.3161003992,7038.82184548394,6342.25961759244
"Smelter",2012,6756.20273771166,25729.7585982391,7070.59650455667,6441.80897086665
"Smelter",2013,6590.79600823262,26195.0023084856,6908.01946396734,6273.5725524979
"Smelter",2014,6776.20758721126,29297.4731295037,7111.691078272,6440.72409615052
"Smelter",2015,6655.88955170763,29395.0895614056,6991.93147775123,6319.84762566402
"Smelter",2016,6129.20945047463,25143.3387050808,6439.99981385393,5818.41908709533
"Smelter",2017,6166.80574366155,27336.3839395887,6490.86662149521,5842.74486582789
"Smelter",2018,6002.93087409585,28069.4596707515,6331.3081514327,5674.55359675901
"Smelter",2019,6162.74904715606,30175.9008167662,6503.2248033821,5822.27329093003
"Smelter",2020,5548.68562034525,31593.7744217438,5897.06851863185,5200.30272205865
