"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,3.77113575542598e-05,-1,Inf,"0%","-100%","Inf%"
"Armenia",2009,-0.181068518139157,-0.867773295819844,0.76678451435552,"-18.1%","-86.8%","76.7%"
"Aruba",2009,-0.141321212073434,-0.532699329915228,0.352810938017905,"-14.1%","-53.3%","35.3%"
"Australia",2009,-0.00252466383517325,-0.12911032304129,0.132102692531292,"-0.3%","-12.9%","13.2%"
"Bangladesh",2009,0.212947418179203,-0.701972872534236,1.84531552918846,"21.3%","-70.2%","184.5%"
"Belarus",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Bosnia and Herzegovina",2009,0.271973284265902,0.0397916466153441,0.528251767051551,"27.2%","4%","52.8%"
"Botswana",2009,-0.156300830475439,-0.316306439772977,0.0171322535560818,"-15.6%","-31.6%","1.7%"
"Brazil",2009,-0.129700533897656,-0.777096277817827,0.807669268284029,"-13%","-77.7%","80.8%"
"Bulgaria",2009,-0.139103155458892,-0.331504762626653,0.0776278302222089,"-13.9%","-33.2%","7.8%"
"Canada",2009,-0.0446325342051077,-0.231412122518568,0.157562573785336,"-4.5%","-23.1%","15.8%"
"Chile",2009,0.190797458930485,-0.144204415198797,0.583029342082198,"19.1%","-14.4%","58.3%"
"China",2009,-0.221354545028145,-0.247385522487737,-0.194933411179393,"-22.1%","-24.7%","-19.5%"
"Colombia",2009,-0.176848941634114,-0.588216001975332,0.320349125890683,"-17.7%","-58.8%","32%"
"Croatia",2009,-0.103796034212501,-1,2.09157835117949,"-10.4%","-100%","209.2%"
"Cuba",2009,-0.0462689643816484,-0.181204912016567,0.0976843083773167,"-4.6%","-18.1%","9.8%"
"Curacao",2009,-0.126333778209059,-0.676974411655645,0.608687248898721,"-12.6%","-67.7%","60.9%"
"Cyprus",2009,-0.74800444424187,-1,0.136459967277662,"-74.8%","-100%","13.6%"
"Czech Republic",2009,0.174903924001066,-0.675653382834555,1.5453808647778,"17.5%","-67.6%","154.5%"
"Egypt",2009,0.38242719386142,0.0272034067771507,0.804631141807882,"38.2%","2.7%","80.5%"
"Estonia",2009,0.25455260868708,-0.965222164173924,3.19324750973757,"25.5%","-96.5%","319.3%"
"France",2009,0.512110609271645,-0.364358063563167,1.93881666265309,"51.2%","-36.4%","193.9%"
"Georgia",2009,-0.604179205582679,-1,0.635172613447615,"-60.4%","-100%","63.5%"
"Germany",2009,0.315724128965605,-0.37045349596697,1.30855598622196,"31.6%","-37%","130.9%"
"Greece",2009,-0.115407208604788,-0.319665434950635,0.113665516468211,"-11.5%","-32%","11.4%"
"Guatemala",2009,-0.725355359562906,-1,0.296852651549608,"-72.5%","-100%","29.7%"
"Honduras",2009,-0.011719818063696,-0.833721399374569,1.35435669343695,"-1.2%","-83.4%","135.4%"
"India",2009,0.157964241264825,0.115902695100026,0.200854004859533,"15.8%","11.6%","20.1%"
"Indonesia",2009,-0.0712976709736072,-0.262015163171297,0.137953241254785,"-7.1%","-26.2%","13.8%"
"Iran",2009,0.000456040306727967,-0.0625392995451325,0.0655982660042962,"0%","-6.3%","6.6%"
"Iraq",2009,0.204169863306433,0.0755397480664564,0.339950411852814,"20.4%","7.6%","34%"
"Israel",2009,-0.173195326090662,-0.465113429485214,0.156108059065533,"-17.3%","-46.5%","15.6%"
"Italy",2009,-0.119657855244264,-0.906005259599082,1.10796067712235,"-12%","-90.6%","110.8%"
"Jamaica",2009,-0.0568057387350639,-0.414903427871796,0.390440522099153,"-5.7%","-41.5%","39%"
"Jordan",2009,0.911686944298072,-0.0730752907845804,2.49071290446359,"91.2%","-7.3%","249.1%"
"Kazakhstan",2009,-0.141794966821695,-0.256250703452073,-0.0205880037768453,"-14.2%","-25.6%","-2.1%"
"Kuwait",2009,-0.0259247656970749,-0.142762348796497,0.0992517994082653,"-2.6%","-14.3%","9.9%"
"Lebanon",2009,1.45903222582311,-36.3191679640878,Inf,"145.9%","-3631.9%","Inf%"
"Macedonia (FYROM)",2009,0.103860463371099,-0.432542374037076,0.804191645025792,"10.4%","-43.3%","80.4%"
"Mali",2009,-0.132682942391153,-0.815391206520393,0.860854863636707,"-13.3%","-81.5%","86.1%"
"Mexico",2009,-0.0420542426583161,-0.139917947320502,0.060870341520346,"-4.2%","-14%","6.1%"
"Morocco",2009,-0.114455934991329,-0.328893078313236,0.121642668074676,"-11.4%","-32.9%","12.2%"
"Namibia",2009,-0.0850141203850419,-0.445975250489016,0.325636185784811,"-8.5%","-44.6%","32.6%"
"Oman",2009,-0.0553297130904503,-0.359848015231123,0.288142398449665,"-5.5%","-36%","28.8%"
"Pakistan",2009,0.226073264443734,0.0757698253546712,0.387379447813486,"22.6%","7.6%","38.7%"
"Peru",2009,-0.16966609820171,-0.315140340231685,-0.00561674453052563,"-17%","-31.5%","-0.6%"
"Poland",2009,-0.140181952588005,-0.49694008334936,0.285459432436447,"-14%","-49.7%","28.5%"
"Portugal",2009,-0.226566562299697,-0.95760914752401,0.897780710261366,"-22.7%","-95.8%","89.8%"
"Puerto Rico",2009,-0.0999423048399452,-0.835923013520049,1.02522894137334,"-10%","-83.6%","102.5%"
"Qatar",2009,-0.197887524869726,-0.334838173384583,-0.0498237511162306,"-19.8%","-33.5%","-5%"
"Romania",2009,-0.0243889594928988,-0.239574373179288,0.219497722925299,"-2.4%","-24%","21.9%"
"Russia",2009,-0.0321281743876319,-0.125858966732697,0.0657890652457969,"-3.2%","-12.6%","6.6%"
"Saudi Arabia",2009,0.0848638617887614,0.00326094223965168,0.170034894785252,"8.5%","0.3%","17%"
"Serbia",2009,0.219841116425749,0.0349311901750635,0.420678420477709,"22%","3.5%","42.1%"
"Singapore",2009,-0.0469723080171844,-0.267122439155607,0.203676451480037,"-4.7%","-26.7%","20.4%"
"Slovakia",2009,-0.471839698504797,-1,0.225855633713719,"-47.2%","-100%","22.6%"
"South Africa",2009,-0.0923747612161733,-0.176922453885499,-0.00411820075735914,"-9.2%","-17.7%","-0.4%"
"South Korea",2009,-0.0553953596428802,-0.328946354700934,0.261445690991273,"-5.5%","-32.9%","26.1%"
"Spain",2009,-0.158967406205008,-0.347626212866332,0.0517414933312073,"-15.9%","-34.8%","5.2%"
"Syria",2009,0.0940719945993926,-0.0879148454048005,0.292541860749015,"9.4%","-8.8%","29.3%"
"Taiwan",2009,-0.143254204122089,-0.508069287327774,0.288752489729318,"-14.3%","-50.8%","28.9%"
"Thailand",2009,0.236534039396641,-0.757129178091267,2.19576583874959,"23.7%","-75.7%","219.6%"
"Trinidad",2009,0.214773388335132,-1,Inf,"21.5%","-100%","Inf%"
"Turkey",2009,0.216931946112033,0.0750898556555308,0.368883503549525,"21.7%","7.5%","36.9%"
"Turkmenistan",2009,0.0662690666704486,-0.256586445523529,0.444782808395463,"6.6%","-25.7%","44.5%"
"UK",2009,-0.037063422941001,-0.832862184102552,1.31361424925307,"-3.7%","-83.3%","131.4%"
"USA",2009,-0.283840546567458,-0.347091813439156,-0.218747201231773,"-28.4%","-34.7%","-21.9%"
"Ukraine",2009,-0.0534099380326593,-0.180689298057793,0.0818993727428043,"-5.3%","-18.1%","8.2%"
"United Arab Emirates",2009,-0.0336163715232183,-0.177823065339891,0.122234550677452,"-3.4%","-17.8%","12.2%"
"Uzbekistan",2009,-0.0472941068707877,-0.137623584729487,0.0470344184735687,"-4.7%","-13.8%","4.7%"
"Venezuela",2009,0.0846103235912798,-0.0892919839303137,0.271974435261483,"8.5%","-8.9%","27.2%"
"Zambia",2009,0.202413179390353,-0.156929677197527,0.633771140305453,"20.2%","-15.7%","63.4%"
"Zimbabwe",2009,-0.0112558492100172,-0.749102389755674,1.17814795007444,"-1.1%","-74.9%","117.8%"
"Albania",2010,-0.935778967915396,-1,Inf,"-93.6%","-100%","Inf%"
"Armenia",2010,0.4966772799423,-0.729784891654913,3.1922982269409,"49.7%","-73%","319.2%"
"Aruba",2010,-0.112504805696984,-0.499157061828906,0.412505577857403,"-11.3%","-49.9%","41.3%"
"Australia",2010,-0.05819411018011,-0.192376922583957,0.0848823505676446,"-5.8%","-19.2%","8.5%"
"Bangladesh",2010,-0.319128989407612,-1,0.794609556817659,"-31.9%","-100%","79.5%"
"Belarus",2010,Inf,-1,Inf,"Inf%","-100%","Inf%"
"Bosnia and Herzegovina",2010,-0.359024103619191,-0.512441734995665,-0.19364349238988,"-35.9%","-51.2%","-19.4%"
"Botswana",2010,-0.0413272874604026,-0.232839953256057,0.173274277954838,"-4.1%","-23.3%","17.3%"
"Brazil",2010,0.072654766768006,-0.774942286983841,1.57289089380841,"7.3%","-77.5%","157.3%"
"Bulgaria",2010,-0.0722232503124907,-0.270684946782495,0.15348822887963,"-7.2%","-27.1%","15.3%"
"Canada",2010,-0.331354727938152,-0.521950499398787,-0.123134228600736,"-33.1%","-52.2%","-12.3%"
"Chile",2010,0.0260332241140617,-0.277823762338223,0.378105266008075,"2.6%","-27.8%","37.8%"
"China",2010,0.0213944681719347,-0.0164559248453056,0.0599155486334739,"2.1%","-1.6%","6%"
"Colombia",2010,0.261160409146386,-0.3874495414785,1.19188721574506,"26.1%","-38.7%","119.2%"
"Croatia",2010,-0.962353847236584,-1,Inf,"-96.2%","-100%","Inf%"
"Cuba",2010,0.053447499678432,-0.115930511862725,0.235876278996481,"5.3%","-11.6%","23.6%"
"Curacao",2010,0.0405137051752253,-0.62134106565712,1.10053088940601,"4.1%","-62.1%","110.1%"
"Cyprus",2010,2.9068821249701,-1,Inf,"290.7%","-100%","Inf%"
"Czech Republic",2010,0.231686825031629,-0.630614534781635,1.68299813356122,"23.2%","-63.1%","168.3%"
"Egypt",2010,-0.200618215840907,-0.425038587629953,0.0490068946335447,"-20.1%","-42.5%","4.9%"
"Estonia",2010,0.213786715298457,-0.940842667961265,3.18683117409974,"21.4%","-94.1%","318.7%"
"France",2010,-0.198257710124211,-0.714286735766084,0.462728818034276,"-19.8%","-71.4%","46.3%"
"Georgia",2010,0.12600975621471,-1,Inf,"12.6%","-100%","Inf%"
"Germany",2010,-0.652816646500229,-1,-0.168636892720553,"-65.3%","-100%","-16.9%"
"Greece",2010,-0.146734217622441,-0.361858003592141,0.0968078735826587,"-14.7%","-36.2%","9.7%"
"Guatemala",2010,2.06515922170065,-1,Inf,"206.5%","-100%","Inf%"
"Honduras",2010,-0.900135989054022,-1,-0.0128139824183668,"-90%","-100%","-1.3%"
"India",2010,-0.0853497671096752,-0.12245300553058,-0.0476449456065215,"-8.5%","-12.2%","-4.8%"
"Indonesia",2010,0.0532749381138045,-0.18112684731803,0.316670677041724,"5.3%","-18.1%","31.7%"
