"year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
2009,-0.0918625484688078,-0.109175575682948,-0.0743962147134243,"-9.2%","-10.9%","-7.4%"
2010,-0.0372751987150054,-0.057742306992715,-0.0166103892777929,"-3.7%","-5.8%","-1.7%"
2011,0.0113845928356502,-0.0121887237889613,0.0352211960694386,"1.1%","-1.2%","3.5%"
2012,-0.028666136943724,-0.0513876708922912,-0.00565295621908779,"-2.9%","-5.1%","-0.6%"
2013,-0.0482714690496444,-0.0697003679626977,-0.0265900840072807,"-4.8%","-7%","-2.7%"
2014,-0.000525498846721151,-0.0228382456593806,0.0220452455658013,"-0.1%","-2.3%","2.2%"
2015,-0.0524988451456204,-0.0741960386197694,-0.0305587833349329,"-5.2%","-7.4%","-3.1%"
2016,-0.00619742659046685,-0.0294410643319994,0.0173292270418828,"-0.6%","-2.9%","1.7%"
2017,-0.0194103762845556,-0.0425367238346994,0.00399076555303024,"-1.9%","-4.3%","0.4%"
2018,-0.0369857221400783,-0.0603366692173991,-0.0133515474619651,"-3.7%","-6%","-1.3%"
2019,0.0242980838509002,-0.000737733347799696,0.0496546724279452,"2.4%","-0.1%","5%"
2020,-0.0684694761045499,-0.0920519613371099,-0.0446035449733222,"-6.8%","-9.2%","-4.5%"
