"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,3.77113575542598e-05,-1,Inf,"0%","-100%","Inf%"
"Armenia","Smelter",2009,-0.181068518139157,-0.867773295819844,0.76678451435552,"-18.1%","-86.8%","76.7%"
"Aruba","Oil & Gas",2009,-0.141321212073434,-0.532699329915228,0.352810938017905,"-14.1%","-53.3%","35.3%"
"Australia","Coal",2009,0.0170940813381197,-0.170601753955077,0.222884982187595,"1.7%","-17.1%","22.3%"
"Australia","Smelter",2009,-0.026028766530668,-0.185409377311624,0.146574246095879,"-2.6%","-18.5%","14.7%"
"Bangladesh","Coal",2009,0.212947418179203,-0.701972872534236,1.84531552918846,"21.3%","-70.2%","184.5%"
"Belarus","Oil & Gas",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Bosnia and Herzegovina","Coal",2009,0.271973284265902,0.0397916466153441,0.528251767051551,"27.2%","4%","52.8%"
"Botswana","Coal",2009,-0.105088937095499,-0.375179938963075,0.206423262347432,"-10.5%","-37.5%","20.6%"
"Botswana","Smelter",2009,-0.174242396616078,-0.365429831104184,0.0363596835853226,"-17.4%","-36.5%","3.6%"
"Brazil","Oil & Gas",2009,-0.884094893486714,-1,Inf,"-88.4%","-100%","Inf%"
"Brazil","Smelter",2009,0.310944627633567,-0.50569034329148,1.67436255900542,"31.1%","-50.6%","167.4%"
"Bulgaria","Coal",2009,-0.139103155458892,-0.331504762626653,0.0776278302222089,"-13.9%","-33.2%","7.8%"
"Canada","Coal",2009,-0.180435907630843,-0.483893482481407,0.168265322950363,"-18%","-48.4%","16.8%"
"Canada","Oil & Gas",2009,0.183929296341845,-0.278385752007101,0.742379550284432,"18.4%","-27.8%","74.2%"
"Canada","Smelter",2009,-0.0271332818866634,-0.287120484901794,0.263572020513163,"-2.7%","-28.7%","26.4%"
"Chile","Smelter",2009,0.190797458930485,-0.144204415198797,0.583029342082198,"19.1%","-14.4%","58.3%"
"China","Coal",2009,-0.23416473989279,-0.261045457061473,-0.206865921270227,"-23.4%","-26.1%","-20.7%"
"China","Oil & Gas",2009,-0.112083875903597,-0.371840981483517,0.192146066219972,"-11.2%","-37.2%","19.2%"
"China","Smelter",2009,-0.0420236467587115,-0.143426753732222,0.0648889778505892,"-4.2%","-14.3%","6.5%"
"Colombia","Oil & Gas",2009,-0.176848941634114,-0.588216001975332,0.320349125890683,"-17.7%","-58.8%","32%"
"Croatia","Coal",2009,-0.103796034212501,-1,2.09157835117949,"-10.4%","-100%","209.2%"
"Cuba","Oil & Gas",2009,-0.0103911920082248,-0.188681873092459,0.183969537111784,"-1%","-18.9%","18.4%"
"Cuba","Smelter",2009,-0.0924820237794491,-0.293208200851463,0.128932993558476,"-9.2%","-29.3%","12.9%"
"Curacao","Oil & Gas",2009,-0.126333778209059,-0.676974411655645,0.608687248898721,"-12.6%","-67.7%","60.9%"
"Cyprus","Oil & Gas",2009,-0.74800444424187,-1,0.136459967277662,"-74.8%","-100%","13.6%"
"Czech Republic","Coal",2009,0.174903924001066,-0.675653382834555,1.5453808647778,"17.5%","-67.6%","154.5%"
"Egypt","Oil & Gas",2009,0.38242719386142,0.0272034067771507,0.804631141807882,"38.2%","2.7%","80.5%"
"Estonia","Oil & Gas",2009,0.25455260868708,-0.965222164173924,3.19324750973757,"25.5%","-96.5%","319.3%"
"France","Coal",2009,0.154784205213254,-0.827268983277321,2.12030050381423,"15.5%","-82.7%","212%"
"France","Oil & Gas",2009,0.905686578650793,-0.552779226649574,4.13700793916405,"90.6%","-55.3%","413.7%"
"Georgia","Smelter",2009,-0.604179205582679,-1,0.635172613447615,"-60.4%","-100%","63.5%"
"Germany","Coal",2009,0.315724128965605,-0.37045349596697,1.30855598622196,"31.6%","-37%","130.9%"
"Greece","Coal",2009,-0.0462784601320957,-0.277433815184586,0.218949482408592,"-4.6%","-27.7%","21.9%"
"Greece","Oil & Gas",2009,-0.396959247386774,-0.818928303039215,0.108628512455257,"-39.7%","-81.9%","10.9%"
"Guatemala","Oil & Gas",2009,-0.725355359562906,-1,0.296852651549608,"-72.5%","-100%","29.7%"
"Honduras","Oil & Gas",2009,-0.011719818063696,-0.833721399374569,1.35435669343695,"-1.2%","-83.4%","135.4%"
"India","Coal",2009,0.147634180029542,0.104320025181987,0.191829597701045,"14.8%","10.4%","19.2%"
"India","Oil & Gas",2009,0.260749654311094,-0.0817005086067208,0.669972547904067,"26.1%","-8.2%","67%"
"India","Smelter",2009,0.325664852091015,0.135482585424409,0.532477902558497,"32.6%","13.5%","53.2%"
"Indonesia","Coal",2009,-0.0833883187067853,-0.283661343627079,0.135882010735146,"-8.3%","-28.4%","13.6%"
"Indonesia","Smelter",2009,-0.0404992917515836,-0.463826400069382,0.500476431390664,"-4%","-46.4%","50%"
"Iran","Coal",2009,0.301003035031931,-0.0612930483315237,0.744910844477815,"30.1%","-6.1%","74.5%"
"Iran","Oil & Gas",2009,-0.0196496146624184,-0.0934213850939081,0.0570998113172396,"-2%","-9.3%","5.7%"
"Iran","Smelter",2009,0.0121861883857401,-0.105858789565646,0.137751276866233,"1.2%","-10.6%","13.8%"
"Iraq","Oil & Gas",2009,0.204169863306433,0.0755397480664564,0.339950411852814,"20.4%","7.6%","34%"
"Israel","Coal",2009,-0.173195326090662,-0.465113429485214,0.156108059065533,"-17.3%","-46.5%","15.6%"
"Italy","Coal",2009,-1,-1,-0.169680092263427,"-100%","-100%","-17%"
"Italy","Oil & Gas",2009,0.947603035377898,7.96457145282018,Inf,"94.8%","796.5%","Inf%"
"Jamaica","Smelter",2009,-0.0568057387350639,-0.414903427871796,0.390440522099153,"-5.7%","-41.5%","39%"
"Jordan","Oil & Gas",2009,0.911686944298072,-0.0730752907845804,2.49071290446359,"91.2%","-7.3%","249.1%"
"Kazakhstan","Coal",2009,-0.0263485309797835,-0.178334063278721,0.135406451929795,"-2.6%","-17.8%","13.5%"
"Kazakhstan","Oil & Gas",2009,0.26325165024187,-0.200009122706695,0.840554454514651,"26.3%","-20%","84.1%"
"Kazakhstan","Smelter",2009,-0.456662878094695,-0.608731872629141,-0.28801187346338,"-45.7%","-60.9%","-28.8%"
"Kuwait","Oil & Gas",2009,-0.0259247656970749,-0.142762348796497,0.0992517994082653,"-2.6%","-14.3%","9.9%"
"Lebanon","Oil & Gas",2009,1.45903222582311,-36.3191679640878,Inf,"145.9%","-3631.9%","Inf%"
"Macedonia (FYROM)","Coal",2009,0.103860463371099,-0.432542374037076,0.804191645025792,"10.4%","-43.3%","80.4%"
"Mali","Smelter",2009,-0.132682942391153,-0.815391206520393,0.860854863636707,"-13.3%","-81.5%","86.1%"
"Mexico","Coal",2009,-0.0219539250450433,-0.186291015154833,0.15673790152777,"-2.2%","-18.6%","15.7%"
"Mexico","Oil & Gas",2009,-0.0472086877149028,-0.155753004213398,0.0676070065812069,"-4.7%","-15.6%","6.8%"
"Mexico","Smelter",2009,0.660168285193917,9.19000298654023,Inf,"66%","919%","Inf%"
"Morocco","Coal",2009,-0.00483495875413587,-0.266465833273858,0.289756898657846,"-0.5%","-26.6%","29%"
