"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,-0.00252466383517325,-0.12911032304129,0.132102692531292,"-0.3%","-12.9%","13.2%"
"China",2009,-0.221354545028145,-0.247385522487737,-0.194933411179393,"-22.1%","-24.7%","-19.5%"
"Europe",2009,-0.0330010142937605,-0.110389716041627,0.0474341325836529,"-3.3%","-11%","4.7%"
"India",2009,0.157964241264825,0.115902695100026,0.200854004859533,"15.8%","11.6%","20.1%"
"Mexico",2009,-0.0420542426583161,-0.139917947320502,0.060870341520346,"-4.2%","-14%","6.1%"
"Russia",2009,-0.0321281743876319,-0.125858966732697,0.0657890652457969,"-3.2%","-12.6%","6.6%"
"Saudi Arabia",2009,0.0848638617887614,0.00326094223965168,0.170034894785252,"8.5%","0.3%","17%"
"South Africa",2009,-0.0923747612161733,-0.176922453885499,-0.00411820075735914,"-9.2%","-17.7%","-0.4%"
"Australia",2010,-0.05819411018011,-0.192376922583957,0.0848823505676446,"-5.8%","-19.2%","8.5%"
"China",2010,0.0213944681719347,-0.0164559248453056,0.0599155486334739,"2.1%","-1.6%","6%"
"Europe",2010,-0.117177082543544,-0.199472843523008,-0.0316621585142287,"-11.7%","-19.9%","-3.2%"
"India",2010,-0.0853497671096752,-0.12245300553058,-0.0476449456065215,"-8.5%","-12.2%","-4.8%"
"Mexico",2010,-0.0340179275427518,-0.131772289674285,0.0694624189211681,"-3.4%","-13.2%","6.9%"
"Russia",2010,-0.131278971965348,-0.233338221638928,-0.0242827334182766,"-13.1%","-23.3%","-2.4%"
"Saudi Arabia",2010,-0.0297912051811648,-0.103522396167158,0.0465963428763931,"-3%","-10.4%","4.7%"
"South Africa",2010,-0.000320332867992823,-0.0965854890078279,0.10110874046958,"0%","-9.7%","10.1%"
"Australia",2011,0.0208209982636036,-0.137869991018546,0.192475750691623,"2.1%","-13.8%","19.2%"
"China",2011,0.0115240042264448,-0.0306128345408061,0.0544393995684935,"1.2%","-3.1%","5.4%"
"Europe",2011,0.00587162245492734,-0.0989120317608468,0.116267597742706,"0.6%","-9.9%","11.6%"
"India",2011,0.0919716190598532,0.0438321018228316,0.14125673445115,"9.2%","4.4%","14.1%"
"Mexico",2011,0.0430634398132062,-0.0569097414582656,0.148396375230498,"4.3%","-5.7%","14.8%"
"Russia",2011,-0.0252984987795027,-0.152821285641285,0.111108418967899,"-2.5%","-15.3%","11.1%"
"Saudi Arabia",2011,0.0667080671477169,-0.0164638228604455,0.153476142848281,"6.7%","-1.6%","15.3%"
"South Africa",2011,-0.0295853760914487,-0.123808312768239,0.0693041731745936,"-3%","-12.4%","6.9%"
"Australia",2012,-0.118433526498184,-0.262321624092331,0.0378229945790489,"-11.8%","-26.2%","3.8%"
"China",2012,-0.0334484478078508,-0.0755283434501968,0.00963099637247411,"-3.3%","-7.6%","1%"
"Europe",2012,-0.0318433803956156,-0.130435409824151,0.0726517853913371,"-3.2%","-13%","7.3%"
"India",2012,-0.059087033013942,-0.0997407230658919,-0.017509875640024,"-5.9%","-10%","-1.8%"
"Mexico",2012,0.0269587423888484,-0.069754950602673,0.128542723425831,"2.7%","-7%","12.9%"
"Russia",2012,0.104178407468449,-0.0293235792889771,0.248272637372231,"10.4%","-2.9%","24.8%"
