"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,32253.0542324673,911451.892286751,34124.2660295145,30381.84243542
"Coal",2009,27835.7285048637,907239.469747116,29702.6112400617,25968.8457696656
"Coal",2010,27201.5760942879,918980.679161957,29080.5003016652,25322.6518869105
"Coal",2011,27457.9405331475,938109.381176685,29356.3190514436,25559.5620148513
"Coal",2012,26651.4664085716,923254.515245108,28534.7546355208,24768.1781816223
"Coal",2013,24774.6184435315,910068.234531943,26644.4093756354,22904.8275114277
"Coal",2014,24391.8908244157,904994.986799611,26256.4628239076,22527.3188249237
"Coal",2015,22566.0797639767,901004.575361906,24426.5364758381,20705.6230521153
"Coal",2016,22076.674252593,899667.397612835,23935.7499031973,20217.5986019888
"Coal",2017,21591.2269612022,898214.047290233,23448.8004009537,19733.6535214507
"Coal",2018,20604.6543394116,897202.228617695,22461.1812262241,18748.1274525991
"Coal",2019,21259.1895448924,897201.012405084,23115.7151733865,19402.6639163983
"Coal",2020,20090.5684740382,897436.616067063,21947.3378469769,18233.7991010995
"Oil & Gas",2008,10560.7298834797,363496.496551342,11742.4270279087,9379.03273905068
"Oil & Gas",2009,10550.2447028251,365092.796364067,11734.5337243533,9365.95568129689
"Oil & Gas",2010,10222.2805676995,367375.832338384,11410.2666776819,9034.29445771706
"Oil & Gas",2011,10435.0222718907,370952.572527126,11628.7774405162,9241.26710326511
"Oil & Gas",2012,9897.79757248256,366328.943955527,11084.0898092858,8711.50533567936
"Oil & Gas",2013,9849.63377060634,363992.559958805,11032.1369707448,8667.13057046786
"Oil & Gas",2014,10025.2913504352,365063.294282382,11209.5325215296,8841.05017934068
"Oil & Gas",2015,9808.81505623607,368668.522881454,10998.8894226105,8618.74068986169
"Oil & Gas",2016,10583.0102479394,371145.30425591,11777.0754893854,9388.94500649341
"Oil & Gas",2017,10277.9542188926,371389.232709831,11472.4117846429,9083.4966531423
"Oil & Gas",2018,10021.6132665632,370309.032715899,11214.3325043059,8828.89402882056
"Oil & Gas",2019,10097.2792240822,370286.414480319,11289.9620360098,8904.59641215457
"Oil & Gas",2020,9311.04253402426,370795.165800106,10504.5444020319,8117.54066601664
"Smelter",2008,7606.3636527842,193504.76090797,8468.55150325767,6744.17580231073
"Smelter",2009,7402.45129283286,196472.627992424,8271.22585950462,6533.67672616111
"Smelter",2010,6657.7952164303,201655.602946915,7537.95438628588,5777.63604657472
"Smelter",2011,6690.54073153819,202147.038990201,7571.77172565083,5809.30973742555
"Smelter",2012,6756.20273771166,196301.481488041,7624.5988289537,5887.80664646962
"Smelter",2013,6590.79600823262,196766.725198287,7460.22056017588,5721.37145628936
"Smelter",2014,6776.20758721126,199869.196019305,7652.45955064859,5899.95562377394
"Smelter",2015,6655.88955170763,199966.812451207,7532.35547044752,5779.42363296774
"Smelter",2016,6129.20945047463,195715.061594882,6996.30747297434,5262.11142797493
"Smelter",2017,6166.80574366155,197908.10682939,7038.74827800414,5294.86320931895
"Smelter",2018,6002.93087409585,198641.182560553,6876.48680643483,5129.37494175687
"Smelter",2019,6162.74904715606,200747.623706568,7040.9244688294,5284.57362548272
"Smelter",2020,5548.68562034525,202165.497311545,6429.95684674041,4667.41439395009
