"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,3.77113575542598e-05,-1,Inf,"0%","-100%","Inf%"
"Armenia",2009,-0.181068518139157,-1,Inf,"-18.1%","-100%","Inf%"
"Aruba",2009,-0.141321212073434,-1,2.21844728971075,"-14.1%","-100%","221.8%"
"Australia",2009,-0.00252466383517325,-0.598037006634055,0.86453865006613,"-0.3%","-59.8%","86.5%"
"Bangladesh",2009,0.212947418179203,-1,Inf,"21.3%","-100%","Inf%"
"Belarus",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Bosnia and Herzegovina",2009,0.271973284265902,-0.534897877803028,1.62044314911006,"27.2%","-53.5%","162%"
"Botswana",2009,-0.156300830475439,-0.729737851296046,0.667380500001445,"-15.6%","-73%","66.7%"
"Brazil",2009,-0.129700533897656,-1,Inf,"-13%","-100%","Inf%"
"Bulgaria",2009,-0.139103155458892,-0.579324821370572,0.435503590972558,"-13.9%","-57.9%","43.6%"
"Canada",2009,-0.0446325342051077,-0.696104243820244,0.949744066168447,"-4.5%","-69.6%","95%"
"Chile",2009,0.190797458930485,5.70078736956218,Inf,"19.1%","570.1%","Inf%"
"China",2009,-0.221354545028145,-0.294216610128006,-0.145714354802972,"-22.1%","-29.4%","-14.6%"
"Colombia",2009,-0.176848941634114,-1,Inf,"-17.7%","-100%","Inf%"
"Croatia",2009,-0.103796034212501,-1,Inf,"-10.4%","-100%","Inf%"
"Cuba",2009,-0.0462689643816484,-0.73235384604904,1.04259544304028,"-4.6%","-73.2%","104.3%"
"Curacao",2009,-0.126333778209059,-1,Inf,"-12.6%","-100%","Inf%"
"Cyprus",2009,-0.74800444424187,-1,Inf,"-74.8%","-100%","Inf%"
"Czech Republic",2009,0.174903924001066,-1,Inf,"17.5%","-100%","Inf%"
"Egypt",2009,0.38242719386142,-1,Inf,"38.2%","-100%","Inf%"
"Estonia",2009,0.25455260868708,-1,Inf,"25.5%","-100%","Inf%"
"France",2009,0.512110609271645,-1,Inf,"51.2%","-100%","Inf%"
"Georgia",2009,-0.604179205582679,-1,Inf,"-60.4%","-100%","Inf%"
"Germany",2009,0.315724128965605,-1,Inf,"31.6%","-100%","Inf%"
"Greece",2009,-0.115407208604788,-0.787045239221838,0.945972578258004,"-11.5%","-78.7%","94.6%"
"Guatemala",2009,-0.725355359562906,-1,Inf,"-72.5%","-100%","Inf%"
"Honduras",2009,-0.011719818063696,-1,Inf,"-1.2%","-100%","Inf%"
"India",2009,0.157964241264825,-0.141861247842252,0.511350768055579,"15.8%","-14.2%","51.1%"
"Indonesia",2009,-0.0712976709736072,-0.926938189429294,1.64559792107345,"-7.1%","-92.7%","164.6%"
"Iran",2009,0.000456040306727967,-0.292796007041859,0.345740146823551,"0%","-29.3%","34.6%"
"Iraq",2009,0.204169863306433,-0.62038899209437,1.63400536477095,"20.4%","-62%","163.4%"
"Israel",2009,-0.173195326090662,-1,Inf,"-17.3%","-100%","Inf%"
