"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,3.77113575542598e-05,-1,Inf,"0%","-100%","Inf%"
"Armenia","Smelter",2009,-0.181068518139157,-1,Inf,"-18.1%","-100%","Inf%"
"Aruba","Oil & Gas",2009,-0.141321212073434,-1,2.21844728971075,"-14.1%","-100%","221.8%"
"Australia","Coal",2009,0.0170940813381197,-0.85688076465872,1.73122090264843,"1.7%","-85.7%","173.1%"
"Australia","Smelter",2009,-0.026028766530668,-0.692672815287727,1.00977825690121,"-2.6%","-69.3%","101%"
"Bangladesh","Coal",2009,0.212947418179203,-1,Inf,"21.3%","-100%","Inf%"
"Belarus","Oil & Gas",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Bosnia and Herzegovina","Coal",2009,0.271973284265902,-0.534897877803028,1.62044314911006,"27.2%","-53.5%","162%"
"Botswana","Coal",2009,-0.105088937095499,-1,Inf,"-10.5%","-100%","Inf%"
"Botswana","Smelter",2009,-0.174242396616078,-0.73004129088973,0.611397153179866,"-17.4%","-73%","61.1%"
"Brazil","Oil & Gas",2009,-0.884094893486714,-1,Inf,"-88.4%","-100%","Inf%"
"Brazil","Smelter",2009,0.310944627633567,-1,Inf,"31.1%","-100%","Inf%"
"Bulgaria","Coal",2009,-0.139103155458892,-0.579324821370572,0.435503590972558,"-13.9%","-57.9%","43.6%"
"Canada","Coal",2009,-0.180435907630843,-1,Inf,"-18%","-100%","Inf%"
"Canada","Oil & Gas",2009,0.183929296341845,-1,Inf,"18.4%","-100%","Inf%"
"Canada","Smelter",2009,-0.0271332818866634,-0.774411354330387,1.22140267162607,"-2.7%","-77.4%","122.1%"
"Chile","Smelter",2009,0.190797458930485,5.70078736956218,Inf,"19.1%","570.1%","Inf%"
"China","Coal",2009,-0.23416473989279,-0.307244022105453,-0.158295620375554,"-23.4%","-30.7%","-15.8%"
"China","Oil & Gas",2009,-0.112083875903597,-0.89259704024012,1.30669302999852,"-11.2%","-89.3%","130.7%"
"China","Smelter",2009,-0.0420236467587115,-0.420293860298394,0.428032739930121,"-4.2%","-42%","42.8%"
"Colombia","Oil & Gas",2009,-0.176848941634114,-1,Inf,"-17.7%","-100%","Inf%"
"Croatia","Coal",2009,-0.103796034212501,-1,Inf,"-10.4%","-100%","Inf%"
"Cuba","Oil & Gas",2009,-0.0103911920082248,-0.939725684334249,2.05617820869299,"-1%","-94%","205.6%"
"Cuba","Smelter",2009,-0.0924820237794491,-0.92931554079264,1.5495749949023,"-9.2%","-92.9%","155%"
"Curacao","Oil & Gas",2009,-0.126333778209059,-1,Inf,"-12.6%","-100%","Inf%"
"Cyprus","Oil & Gas",2009,-0.74800444424187,-1,Inf,"-74.8%","-100%","Inf%"
"Czech Republic","Coal",2009,0.174903924001066,-1,Inf,"17.5%","-100%","Inf%"
