"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,-0.00252466383517325,-0.598037006634055,0.86453865006613,"-0.3%","-59.8%","86.5%"
"China",2009,-0.221354545028145,-0.294216610128006,-0.145714354802972,"-22.1%","-29.4%","-14.6%"
"Europe",2009,-0.0330010142937605,-0.301413377697077,0.278108587634966,"-3.3%","-30.1%","27.8%"
"India",2009,0.157964241264825,-0.141861247842252,0.511350768055579,"15.8%","-14.2%","51.1%"
"Mexico",2009,-0.0420542426583161,-0.334417818479856,0.301854131540588,"-4.2%","-33.4%","30.2%"
"Russia",2009,-0.0321281743876319,-0.235956234606603,0.194869697151406,"-3.2%","-23.6%","19.5%"
"Saudi Arabia",2009,0.0848638617887614,-0.209605193697739,0.431492468938765,"8.5%","-21%","43.1%"
"South Africa",2009,-0.0923747612161733,-0.284881952311966,0.120980316553675,"-9.2%","-28.5%","12.1%"
"Australia",2010,-0.05819411018011,-0.641561498128851,0.784664708716371,"-5.8%","-64.2%","78.5%"
"China",2010,0.0213944681719347,-0.0833859523979449,0.132018106806424,"2.1%","-8.3%","13.2%"
"Europe",2010,-0.117177082543544,-0.385056178124338,0.192707838317548,"-11.7%","-38.5%","19.3%"
"India",2010,-0.0853497671096752,-0.318802507747337,0.179587567548255,"-8.5%","-31.9%","18%"
"Mexico",2010,-0.0340179275427518,-0.338012678312476,0.326927090335354,"-3.4%","-33.8%","32.7%"
"Russia",2010,-0.131278971965348,-0.336339460637184,0.0969439491046376,"-13.1%","-33.6%","9.7%"
"Saudi Arabia",2010,-0.0297912051811648,-0.288888208588447,0.268741222617167,"-3%","-28.9%","26.9%"
"South Africa",2010,-0.000320332867992823,-0.220420774304917,0.247930568534526,"0%","-22%","24.8%"
"Australia",2011,0.0208209982636036,-0.61896240294206,0.986136271663987,"2.1%","-61.9%","98.6%"
"China",2011,0.0115240042264448,-0.0925613617262058,0.121298162335094,"1.2%","-9.3%","12.1%"
"Europe",2011,0.00587162245492734,-0.314482375422851,0.389006570251407,"0.6%","-31.4%","38.9%"
"India",2011,0.0919716190598532,-0.184679466166985,0.414003864356037,"9.2%","-18.5%","41.4%"
"Mexico",2011,0.0430634398132062,-0.281219481042472,0.432047327728214,"4.3%","-28.1%","43.2%"
"Russia",2011,-0.0252984987795027,-0.273483093582521,0.259052664592771,"-2.5%","-27.3%","25.9%"
"Saudi Arabia",2011,0.0667080671477169,-0.213145760474184,0.393194979575874,"6.7%","-21.3%","39.3%"
"South Africa",2011,-0.0295853760914487,-0.246489005360664,0.21430496890593,"-3%","-24.6%","21.4%"
"Australia",2012,-0.118433526498184,-0.706864180248082,0.740179961628207,"-11.8%","-70.7%","74%"
"China",2012,-0.0334484478078508,-0.134613831499244,0.0733030735213676,"-3.3%","-13.5%","7.3%"
"Europe",2012,-0.0318433803956156,-0.34365406853217,0.340265549316375,"-3.2%","-34.4%","34%"
"India",2012,-0.059087033013942,-0.296083872370884,0.210692923803959,"-5.9%","-29.6%","21.1%"
"Mexico",2012,0.0269587423888484,-0.282921994873397,0.395265767863008,"2.7%","-28.3%","39.5%"
"Russia",2012,0.104178407468449,-0.163374944509365,0.414895220802289,"10.4%","-16.3%","41.5%"
"Saudi Arabia",2012,-0.118565345498602,-0.358860600517924,0.155633109901947,"-11.9%","-35.9%","15.6%"
"South Africa",2012,0.00835845451435291,-0.219087920447529,0.265802738783165,"0.8%","-21.9%","26.6%"
"Australia",2013,0.0742358471923803,-0.643241300890686,1.23093549370298,"7.4%","-64.3%","123.1%"
"China",2013,-0.113169488740651,-0.212111459697893,-0.00888355930686213,"-11.3%","-21.2%","-0.9%"
"Europe",2013,-0.0319720945674443,-0.351396462839175,0.35048630380915,"-3.2%","-35.1%","35%"
"India",2013,0.0284619635239114,-0.233055701982941,0.33039511691051,"2.8%","-23.3%","33%"
"Mexico",2013,-0.0312949380653642,-0.325990416644416,0.315857454618717,"-3.1%","-32.6%","31.6%"
"Russia",2013,0.0161866900894916,-0.215471634429012,0.27890096661693,"1.6%","-21.5%","27.9%"
"Saudi Arabia",2013,0.00262699993169591,-0.282366483222397,0.336607184704397,"0.3%","-28.2%","33.7%"
"South Africa",2013,-0.0330771012249906,-0.252464964628368,0.214552443264789,"-3.3%","-25.2%","21.5%"
"Australia",2014,-0.021985324459408,-0.665008414007334,0.957343527056383,"-2.2%","-66.5%","95.7%"
"China",2014,-0.0412115517857627,-0.154684889677073,0.0793369097164882,"-4.1%","-15.5%","7.9%"
"Europe",2014,-0.055495302957171,-0.381133735161987,0.335476102135058,"-5.5%","-38.1%","33.5%"
"India",2014,0.0315032601901224,-0.223882434350211,0.325223154756782,"3.2%","-22.4%","32.5%"
"Mexico",2014,-0.0446851235121286,-0.346831551816912,0.312860976726629,"-4.5%","-34.7%","31.3%"
"Russia",2014,0.0493434885350521,-0.184560867448551,0.31449294378011,"4.9%","-18.5%","31.4%"
"Saudi Arabia",2014,0.0298368627637722,-0.258230143955546,0.367639637596156,"3%","-25.8%","36.8%"
"South Africa",2014,-0.0335180425770186,-0.257673583148855,0.2199403110076,"-3.4%","-25.8%","22%"
"Australia",2015,0.0381443072084087,-0.635653878934867,1.08635356868016,"3.8%","-63.6%","108.6%"
"China",2015,-0.149666227367181,-0.260179934492072,-0.0325020219851623,"-15%","-26%","-3.3%"
"Europe",2015,-0.0208515735253603,-0.371386324132003,0.406265811384344,"-2.1%","-37.1%","40.6%"
"India",2015,0.0265978582665867,-0.221210874651892,0.310365299368248,"2.7%","-22.1%","31%"
"Mexico",2015,0.0146264587626252,-0.311181456389298,0.405305686420705,"1.5%","-31.1%","40.5%"
