"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,36961.7470526305,169425.440076698,37768.5089571591,36154.9851481019
"Coal",2009,28094.9494033157,157307.922280006,28872.325833516,27317.5729731155
"Coal",2010,28576.1924400693,189661.266913961,29429.7747284145,27722.610151724
"Coal",2011,29056.2835682084,216970.899073926,29969.2542171794,28143.3129192375
"Coal",2012,27720.006193002,166013.938106112,28518.6044303081,26921.4079556959
"Coal",2013,24536.7477053219,151891.594266406,25300.6238396093,23772.8715710345
"Coal",2014,22909.7502702887,152417.071661244,23674.9465996669,22144.5539409105
"Coal",2015,19871.5507550355,158999.056494082,20653.09459605,19090.006914021
"Coal",2016,18435.9650994312,159352.32096187,19218.3766766763,17653.5535221862
"Coal",2017,17322.3760022131,151421.634674077,18085.0694870181,16559.6825174081
"Coal",2018,16234.4746971892,159017.704225295,17016.0643673819,15452.8850269965
"Coal",2019,17062.3424994229,167845.718699947,17865.3344750726,16259.3505237733
"Coal",2020,16285.8412064577,210712.123345565,17185.5476547197,15386.1347581956
"Oil & Gas",2008,11557.3598099087,55502.6275782099,12019.1161245428,11095.6034952746
"Oil & Gas",2009,11470.2201887365,55467.6100182315,11931.8308153972,11008.6095620759
"Oil & Gas",2010,10673.622392331,62391.9971895379,11163.1988382547,10184.0459464072
"Oil & Gas",2011,11312.3055228717,88199.7327277926,11894.3949431905,10730.2161025529
"Oil & Gas",2012,10408.6928387429,64983.565896639,10908.333576422,9909.05210106381
"Oil & Gas",2013,10126.3023729719,62583.1355122818,10616.6281558795,9635.97659006422
"Oil & Gas",2014,9959.00706727119,57855.2987505228,10430.448384595,9487.56574994738
"Oil & Gas",2015,9889.2685793405,68300.4585961147,10401.5019653501,9377.03519333092
"Oil & Gas",2016,11378.950620026,74081.4733868792,11912.4216953085,10845.4795447435
"Oil & Gas",2017,10719.4007162909,71822.2247156557,11244.6742245394,10194.1272080424
"Oil & Gas",2018,9800.01228456297,66198.2015575349,10304.3009034147,9295.7236657112
"Oil & Gas",2019,10035.7562836297,75295.0262007952,10573.5790914883,9497.93347577102
"Oil & Gas",2020,9469.67030083002,97002.5211143254,10080.1167645865,8859.22383707354
"Smelter",2008,7680.59914510885,40449.8624682703,8074.79730803976,7286.40098217793
"Smelter",2009,7125.52517958851,42392.8416077671,7529.07981073577,6721.97054844126
"Smelter",2010,6782.65441169588,52093.4932931233,7230.00479320333,6335.30403018843
"Smelter",2011,6760.76908531997,56160.7494218902,7225.25496775251,6296.28320288743
"Smelter",2012,6520.14504164111,46890.059849927,6944.56565131915,6095.72443196307
"Smelter",2013,6106.63809775471,45664.7620669674,6525.47667042497,5687.79952508445
"Smelter",2014,6276.58633301581,48237.6022865835,6707.06231718234,5846.11034884928
"Smelter",2015,6309.84515970686,52343.4578904289,6758.26753630271,5861.422783111
"Smelter",2016,5823.30794321881,43878.1949375152,6233.87154812304,5412.74433831458
"Smelter",2017,5659.07088271433,47594.943844175,6086.66968564972,5231.47207977893
"Smelter",2018,5588.76047051164,51211.5878471211,6032.30802813484,5145.21291288845
"Smelter",2019,5544.09474634087,55713.3558389801,6006.72681158389,5081.46268109784
"Smelter",2020,5724.9034518475,62846.3820807047,6216.25939350409,5233.54751019091
