"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,-0.306814655349245,-1,Inf,"-30.7%","-100%","Inf%"
"Armenia",2009,0.0174818148157796,-0.813847059276991,1.23074772512651,"1.7%","-81.4%","123.1%"
"Aruba",2009,0.024163013997722,-0.296541388430918,0.397057521978082,"2.4%","-29.7%","39.7%"
"Australia",2009,-0.0432673337109606,-0.224198410654583,0.155760833096011,"-4.3%","-22.4%","15.6%"
"Bangladesh",2009,0.0554338910221666,-1,Inf,"5.5%","-100%","Inf%"
"Belarus",2009,-0.0137594631662968,-1,2.65503682702311,"-1.4%","-100%","265.5%"
"Bosnia and Herzegovina",2009,0.647659710503379,0.0280937694481014,1.49513036283625,"64.8%","2.8%","149.5%"
"Botswana",2009,-0.279507825659644,-0.466714298761958,-0.0753104989605403,"-28%","-46.7%","-7.5%"
"Brazil",2009,-0.358488930038543,-0.821191382912507,0.236243267649969,"-35.8%","-82.1%","23.6%"
"Bulgaria",2009,-0.147728982819642,-0.314852878860526,0.0386252133243186,"-14.8%","-31.5%","3.9%"
"Canada",2009,-0.135237638654878,-0.384703727466971,0.148994474683463,"-13.5%","-38.5%","14.9%"
"Chile",2009,0.114213405700235,-0.427118584274047,0.860983377365312,"11.4%","-42.7%","86.1%"
"China",2009,-0.365823036757064,-0.393832865155906,-0.337345584608477,"-36.6%","-39.4%","-33.7%"
"Colombia",2009,-0.248128645589494,-0.838003464935187,0.878866890887873,"-24.8%","-83.8%","87.9%"
"Croatia",2009,-0.171221057703001,-1,Inf,"-17.1%","-100%","Inf%"
"Cuba",2009,-0.0300202436317307,-0.229253391775434,0.196559206507442,"-3%","-22.9%","19.7%"
"Curacao",2009,0.290239272743633,-0.205845123757275,0.914595318162065,"29%","-20.6%","91.5%"
"Cyprus",2009,-0.257842666193745,-1,Inf,"-25.8%","-100%","Inf%"
"Czech Republic",2009,0.883172725135696,-1,Inf,"88.3%","-100%","Inf%"
"Egypt",2009,0.375064217396956,-0.865943602024227,3.55628922403814,"37.5%","-86.6%","355.6%"
"Estonia",2009,0.530832962727923,-0.693783698600133,2.96181993427628,"53.1%","-69.4%","296.2%"
"France",2009,0.12538280596252,-0.551198653841088,1.13178966616044,"12.5%","-55.1%","113.2%"
"Georgia",2009,0.565920961959265,-1,Inf,"56.6%","-100%","Inf%"
"Germany",2009,0.182361691582772,-0.579301875094722,1.28440655397953,"18.2%","-57.9%","128.4%"
"Greece",2009,-0.045158086337975,-0.298052658135397,0.235086374408425,"-4.5%","-29.8%","23.5%"
"Guatemala",2009,-0.0115092001320886,-0.980197049248676,1.55594379312712,"-1.2%","-98%","155.6%"
"Honduras",2009,0.334969903051351,-16.5637938932207,Inf,"33.5%","-1656.4%","Inf%"
"India",2009,0.183435021648029,0.0541724499407015,0.320218128433383,"18.3%","5.4%","32%"
"Indonesia",2009,0.0950713393486913,-0.250790318540002,0.513759271436163,"9.5%","-25.1%","51.4%"
"Iran",2009,-0.0435994873906373,-0.161299480963969,0.0821774024313291,"-4.4%","-16.1%","8.2%"
"Iraq",2009,0.380765128299758,-0.0667809551136883,0.942623395481403,"38.1%","-6.7%","94.3%"
"Israel",2009,0.668658444218891,20.8590713196838,Inf,"66.9%","2085.9%","Inf%"
"Italy",2009,0.31829506565179,-1,Inf,"31.8%","-100%","Inf%"
"Jamaica",2009,0.042506100057452,-0.414858145130777,0.613582600232031,"4.3%","-41.5%","61.4%"
"Jordan",2009,0.466443228764197,6.0342686316839,Inf,"46.6%","603.4%","Inf%"
"Kazakhstan",2009,-0.300015465044734,-0.457333934584173,-0.130415431561533,"-30%","-45.7%","-13%"
"Kuwait",2009,-0.125994046226188,-0.266763539307179,0.0281461861358638,"-12.6%","-26.7%","2.8%"
"Lebanon",2009,0.98332742799646,-1,Inf,"98.3%","-100%","Inf%"
"Macedonia (FYROM)",2009,-0.106497022040649,-1,1.53286438334404,"-10.6%","-100%","153.3%"
"Mali",2009,0.509286006912778,-1,Inf,"50.9%","-100%","Inf%"
"Mexico",2009,-0.00735357744414544,-0.107182312632506,0.0975979369124214,"-0.7%","-10.7%","9.8%"
"Morocco",2009,0.0926940020926013,-0.290963367684395,0.559684168015235,"9.3%","-29.1%","56%"
"Namibia",2009,0.590227474178084,187.962122424293,Inf,"59%","18796.2%","Inf%"
"Oman",2009,-0.13010379248239,-0.895685305876798,1.73735259605685,"-13%","-89.6%","173.7%"
"Pakistan",2009,0.242079905869883,-0.217576988449381,0.838138311870862,"24.2%","-21.8%","83.8%"
"Peru",2009,-0.375492756333347,-0.567535815539861,-0.150916135015644,"-37.5%","-56.8%","-15.1%"
"Poland",2009,-0.369229505270571,-0.690167471525388,0.00184180454738825,"-36.9%","-69%","0.2%"
"Portugal",2009,-0.215202089387852,-1,0.992395537521411,"-21.5%","-100%","99.2%"
"Puerto Rico",2009,0.10824891499574,-0.649918376058115,1.33095813635125,"10.8%","-65%","133.1%"
"Qatar",2009,-0.344361163353697,-0.511222656337054,-0.160777182386855,"-34.4%","-51.1%","-16.1%"
"Romania",2009,-0.134271345208833,-0.306822172457265,0.0586397633403641,"-13.4%","-30.7%","5.9%"
"Russia",2009,-0.0296394004140538,-0.143017274484182,0.0900793322549884,"-3%","-14.3%","9%"
"Saudi Arabia",2009,0.184798362049121,0.0409882819640157,0.339594201613577,"18.5%","4.1%","34%"
"Serbia",2009,0.254629778783988,-0.0644666524825985,0.633761647207519,"25.5%","-6.4%","63.4%"
"Singapore",2009,-0.0577421747930237,-0.30353773853362,0.219024486339286,"-5.8%","-30.4%","21.9%"
"Slovakia",2009,-0.477781100461343,-1,0.540242573207175,"-47.8%","-100%","54%"
"South Africa",2009,-0.144309098849506,-0.25117291144831,-0.0306228600338175,"-14.4%","-25.1%","-3.1%"
"South Korea",2009,0.0806158579323284,-0.406027434074099,0.782662612043811,"8.1%","-40.6%","78.3%"
"Spain",2009,-0.472384206588283,-0.679813921993156,-0.242004659553145,"-47.2%","-68%","-24.2%"
"Syria",2009,0.289337243918122,-0.398795570959192,1.35898867374265,"28.9%","-39.9%","135.9%"
"Taiwan",2009,0.124177895775658,-1,3.49145000119148,"12.4%","-100%","349.1%"
"Thailand",2009,0.0417750110342829,-1,2.42518757128721,"4.2%","-100%","242.5%"
"Trinidad",2009,0.138020434289762,-0.787149085069061,1.94866046533308,"13.8%","-78.7%","194.9%"
"Turkey",2009,0.15979643714568,-0.0693833841319396,0.413118300275591,"16%","-6.9%","41.3%"
"Turkmenistan",2009,-0.1220061980474,-0.828187871345456,0.84173093021879,"-12.2%","-82.8%","84.2%"
"UK",2009,0.0626169064356259,-0.615768678942656,1.09293489429269,"6.3%","-61.6%","109.3%"
"USA",2009,-0.384564504626882,-0.460489990615963,-0.305298456811206,"-38.5%","-46%","-30.5%"
"Ukraine",2009,-0.112630115643587,-0.253566920588481,0.0395318735403387,"-11.3%","-25.4%","4%"
"United Arab Emirates",2009,-0.152157497237795,-0.356327561736409,0.069694395888984,"-15.2%","-35.6%","7%"
"Uzbekistan",2009,-0.117594575675154,-0.320959772870013,0.100187838037795,"-11.8%","-32.1%","10%"
"Venezuela",2009,0.254043391823853,-0.0482325193818458,0.606822783643975,"25.4%","-4.8%","60.7%"
"Zambia",2009,0.766953531255261,-0.00744309165943291,1.74650028649412,"76.7%","-0.7%","174.7%"
"Zimbabwe",2009,-0.109104269574507,-1,Inf,"-10.9%","-100%","Inf%"
"Albania",2010,0.0534607706758803,-1,Inf,"5.3%","-100%","Inf%"
"Armenia",2010,-0.0438920154480166,-0.831547979155554,1.56340945401588,"-4.4%","-83.2%","156.3%"
