"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,-0.0432673337109606,-0.224198410654583,0.155760833096011,"-4.3%","-22.4%","15.6%"
"China",2009,-0.365823036757064,-0.393832865155906,-0.337345584608477,"-36.6%","-39.4%","-33.7%"
"Europe",2009,-0.109560275758124,-0.192762395555135,-0.0228374334308207,"-11%","-19.3%","-2.3%"
"India",2009,0.183435021648029,0.0541724499407015,0.320218128433383,"18.3%","5.4%","32%"
"Mexico",2009,-0.00735357744414544,-0.107182312632506,0.0975979369124214,"-0.7%","-10.7%","9.8%"
"Russia",2009,-0.0296394004140538,-0.143017274484182,0.0900793322549884,"-3%","-14.3%","9%"
"Saudi Arabia",2009,0.184798362049121,0.0409882819640157,0.339594201613577,"18.5%","4.1%","34%"
"South Africa",2009,-0.144309098849506,-0.25117291144831,-0.0306228600338175,"-14.4%","-25.1%","-3.1%"
"Australia",2010,0.00158467208722834,-0.215925542072312,0.240489868734846,"0.2%","-21.6%","24%"
"China",2010,0.124755536063288,0.0670986520043868,0.183860124375391,"12.5%","6.7%","18.4%"
"Europe",2010,-0.140473073351467,-0.240652787626004,-0.0357014691954104,"-14%","-24.1%","-3.6%"
"India",2010,-0.064930242670075,-0.168908423836897,0.0451616670731325,"-6.5%","-16.9%","4.5%"
"Mexico",2010,-0.175946051402399,-0.268049874189596,-0.0791462989662622,"-17.6%","-26.8%","-7.9%"
"Russia",2010,-0.0140380902576982,-0.13913362127016,0.119139622225005,"-1.4%","-13.9%","11.9%"
"Saudi Arabia",2010,-0.05323974101278,-0.163221901148389,0.0632861448859079,"-5.3%","-16.3%","6.3%"
"South Africa",2010,-0.0207543953686635,-0.148617791376072,0.115904044774128,"-2.1%","-14.9%","11.6%"
"Australia",2011,0.0169606303504719,-0.231089768725884,0.297426979535248,"1.7%","-23.1%","29.7%"
"China",2011,0.0246019532160762,-0.0320205234962601,0.0827226695248073,"2.5%","-3.2%","8.3%"
"Europe",2011,0.052382802161179,-0.0805692163276557,0.195005217303886,"5.2%","-8.1%","19.5%"
"India",2011,0.0701457211728984,-0.0559836310237765,0.203587654657657,"7%","-5.6%","20.4%"
"Mexico",2011,0.0651208649254291,-0.0598517015203973,0.198315955749731,"6.5%","-6%","19.8%"
"Russia",2011,-0.0337623196070574,-0.16305105173738,0.10452778686098,"-3.4%","-16.3%","10.5%"
"Saudi Arabia",2011,0.0831496676007373,-0.0739020976528867,0.248536077223831,"8.3%","-7.4%","24.9%"
"South Africa",2011,0.0157628464319532,-0.110180000803122,0.151495457030798,"1.6%","-11%","15.1%"
"Australia",2012,-0.117194603274618,-0.330487292102306,0.128923280286782,"-11.7%","-33%","12.9%"
"China",2012,-0.0090797556322666,-0.0630950291541905,0.046657242881021,"-0.9%","-6.3%","4.7%"
"Europe",2012,-0.0932494277584928,-0.202432304831425,0.0234541749357382,"-9.3%","-20.2%","2.3%"
"India",2012,-0.0467796962980901,-0.152196069053401,0.0664384485036347,"-4.7%","-15.2%","6.6%"
"Mexico",2012,-0.0358764865852109,-0.165750388874714,0.100999956708859,"-3.6%","-16.6%","10.1%"
"Russia",2012,0.0448083532542729,-0.0909071852746487,0.191238742897121,"4.5%","-9.1%","19.1%"
"Saudi Arabia",2012,-0.181662847913027,-0.300240376161401,-0.0508169979752856,"-18.2%","-30%","-5.1%"
"South Africa",2012,0.0130796057401561,-0.105087004053931,0.138612378115091,"1.3%","-10.5%","13.9%"
"Australia",2013,0.138294920769024,-0.107126609923334,0.419793646064507,"13.8%","-10.7%","42%"
"China",2013,-0.241624466497585,-0.284731966635541,-0.197461774110796,"-24.2%","-28.5%","-19.7%"
"Europe",2013,-0.10787912283049,-0.223230002842503,0.0141896475116161,"-10.8%","-22.3%","1.4%"
"India",2013,0.0827308754278502,-0.0215145228075881,0.192623019269335,"8.3%","-2.2%","19.3%"
"Mexico",2013,0.134057100314994,-0.0184304791389748,0.300507887530818,"13.4%","-1.8%","30.1%"
"Russia",2013,-0.00695011527369027,-0.130655196101227,0.125025780550322,"-0.7%","-13.1%","12.5%"
"Saudi Arabia",2013,0.0010016911776094,-0.136323290168019,0.146965224789394,"0.1%","-13.6%","14.7%"
"South Africa",2013,-0.0247290675825178,-0.137576887383189,0.0954249130570597,"-2.5%","-13.8%","9.5%"
"Australia",2014,-0.114507956239537,-0.294616493518979,0.0857136436755028,"-11.5%","-29.5%","8.6%"
"China",2014,-0.113378999076536,-0.169196025743467,-0.0557995783731292,"-11.3%","-16.9%","-5.6%"
"Europe",2014,-0.0631918024301223,-0.201749904757038,0.0852621473052355,"-6.3%","-20.2%","8.5%"
"India",2014,0.0450914848383666,-0.0522592705773346,0.147417385058377,"4.5%","-5.2%","14.7%"
"Mexico",2014,-0.169868192119859,-0.278845664543728,-0.0544009087286529,"-17%","-27.9%","-5.4%"
"Russia",2014,-0.00915626745185705,-0.136288784979666,0.126480956774889,"-0.9%","-13.6%","12.6%"
"Saudi Arabia",2014,0.0467148133269055,-0.0959318141000769,0.201746793643486,"4.7%","-9.6%","20.2%"
"South Africa",2014,-0.0803697359154344,-0.189338019390029,0.035096094330441,"-8%","-18.9%","3.5%"
"Australia",2015,0.0717540681288709,-0.146493932490895,0.316127134908917,"7.2%","-14.6%","31.6%"
"China",2015,-0.321278139675586,-0.373370780840658,-0.267702134362259,"-32.1%","-37.3%","-26.8%"
"Europe",2015,-0.0148928318553775,-0.17054299441015,0.153970639024791,"-1.5%","-17.1%","15.4%"
"India",2015,0.0324464236208222,-0.0669085714470657,0.136499709074416,"3.2%","-6.7%","13.6%"
"Mexico",2015,0.0481312740994144,-0.101843049392837,0.209485520955122,"4.8%","-10.2%","20.9%"
"Russia",2015,-0.0110665883989476,-0.14573894318205,0.132865852742282,"-1.1%","-14.6%","13.3%"
"Saudi Arabia",2015,0.0584535448756505,-0.0730145158594097,0.19920084876405,"5.8%","-7.3%","19.9%"
"South Africa",2015,0.176262862205046,0.0264955903646789,0.335599734055235,"17.6%","2.6%","33.6%"
"Australia",2016,-0.197943608696467,-0.397517516362197,0.0201696064714518,"-19.8%","-39.8%","2%"
"China",2016,-0.215105197935124,-0.290738575250064,-0.136329605340382,"-21.5%","-29.1%","-13.6%"
"Europe",2016,-0.191281108089626,-0.34167975028793,-0.0293351820545301,"-19.1%","-34.2%","-2.9%"
"India",2016,0.201064595136685,0.0879471062049808,0.320613633471673,"20.1%","8.8%","32.1%"
"Mexico",2016,0.26034001273066,0.0974214742311714,0.437949871250244,"26%","9.7%","43.8%"
"Russia",2016,0.00922673718620759,-0.126563913434959,0.156014827186779,"0.9%","-12.7%","15.6%"
"Saudi Arabia",2016,0.335850103990324,0.180294780081718,0.502225305176825,"33.6%","18%","50.2%"
"South Africa",2016,-0.142933667697771,-0.248080148690623,-0.0296524443985918,"-14.3%","-24.8%","-3%"
"Australia",2017,0.0658842373233781,-0.216211856439719,0.397928768371628,"6.6%","-21.6%","39.8%"
"China",2017,-0.33797489740157,-0.424160676734432,-0.247897541216746,"-33.8%","-42.4%","-24.8%"
"Europe",2017,0.12675252937165,-0.0881888444588551,0.368680639274706,"12.7%","-8.8%","36.9%"
"India",2017,-0.0375605102889135,-0.123610404336645,0.0525435809729702,"-3.8%","-12.4%","5.3%"
"Mexico",2017,-0.225709368832678,-0.315694923853982,-0.130364900096594,"-22.6%","-31.6%","-13%"
"Russia",2017,-0.0567865083512008,-0.186463056061292,0.0814570355238524,"-5.7%","-18.6%","8.1%"
"Saudi Arabia",2017,0.081666707489042,-0.0332755450188559,0.203861532190273,"8.2%","-3.3%","20.4%"
"South Africa",2017,0.0619590511233379,-0.0599901358652191,0.19140213108145,"6.2%","-6%","19.1%"
"Australia",2018,-0.0495195028614132,-0.299259965011647,0.235772363405529,"-5%","-29.9%","23.6%"
"China",2018,-0.17957548085029,-0.316276992586946,-0.0328140234727429,"-18%","-31.6%","-3.3%"
"Europe",2018,-0.152549372781189,-0.318855748997952,0.0288892858640735,"-15.3%","-31.9%","2.9%"
"India",2018,0.00510748079193224,-0.0838921553239852,0.0984629279050244,"0.5%","-8.4%","9.8%"
"Mexico",2018,-0.0654687752234879,-0.183435460633173,0.0596926401705138,"-6.5%","-18.3%","6%"
"Russia",2018,-0.0589235507203056,-0.199820935145331,0.0928181521793148,"-5.9%","-20%","9.3%"
"Saudi Arabia",2018,-0.23200069449427,-0.317916268420142,-0.141823939605095,"-23.2%","-31.8%","-14.2%"
"South Africa",2018,-0.0344075951167159,-0.152686176594536,0.0908613617461338,"-3.4%","-15.3%","9.1%"
"Australia",2019,0.0947867692805759,-0.191859410171489,0.429215612678796,"9.5%","-19.2%","42.9%"
"China",2019,-0.136435253087236,-0.305841197250269,0.0487550941520514,"-13.6%","-30.6%","4.9%"
"Europe",2019,0.260942404748556,0.0180348486948936,0.535685218023874,"26.1%","1.8%","53.6%"
