"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,10453.484518257,398204.764659551,11690.3124868589,9216.65654965496
"Coal",2009,10429.2919259243,394418.831217808,11660.2262791724,9198.35757267622
"Coal",2010,10431.9692456387,405959.628209917,11680.7824853713,9183.15600590623
"Coal",2011,10434.8581776731,425097.154752201,11712.7678887623,9156.94846658393
"Coal",2012,10428.7758084005,410387.189752244,11684.3806141225,9173.1710026785
"Coal",2013,10413.7551872825,397355.932194196,11649.2642115787,9178.24616298638
"Coal",2014,10412.1824892102,392398.89327653,11639.9608032438,9184.40417517663
"Coal",2015,10402.3220099796,388614.6843496,11624.1657689755,9180.47825098357
"Coal",2016,10395.253988781,387116.669368122,11614.7405188602,9175.76745870181
"Coal",2017,10392.3630455543,385638.61629595,11609.5192838255,9175.2068072831
"Coal",2018,10388.76404044,384971.030978353,11604.8663028367,9172.66177804323
"Coal",2019,10394.6844429172,384668.402544548,11610.3086180697,9179.06026776475
"Coal",2020,10388.3623235906,385412.890201124,11605.1622903052,9171.56235687597
"Oil & Gas",2008,4446.30754077218,304121.595691103,5527.19306755424,3365.42201399011
"Oil & Gas",2009,4447.46375151086,306023.174871494,5531.72323548429,3363.20426753742
"Oil & Gas",2010,4446.06835311667,308184.11320553,5534.14927349454,3357.98743273879
"Oil & Gas",2011,4447.96183296561,311204.522642152,5541.36171140995,3354.56195452128
"Oil & Gas",2012,4445.8109235195,306904.132454867,5531.62993018618,3359.99191685282
"Oil & Gas",2013,4445.33298736454,304874.483800941,5527.55561555603,3363.11035917305
"Oil & Gas",2014,4443.63502440522,305750.716228207,5527.41173178653,3359.8583170239
"Oil & Gas",2015,4443.91520709482,309451.554206256,5534.23125789787,3353.59915629177
"Oil & Gas",2016,4446.2885218754,311357.436666758,5539.95699481362,3352.62004893718
"Oil & Gas",2017,4442.13291830394,311838.761076031,5536.64641047737,3347.61942613051
"Oil & Gas",2018,4441.07718796681,310903.382032436,5533.94791793253,3348.20645800109
"Oil & Gas",2019,4443.43898823278,310913.159969017,5536.32690349993,3350.55107296563
"Oil & Gas",2020,4440.12294553358,311448.375097562,5533.95112115112,3346.29476991604
"Smelter",2008,4207.25555167553,85564.0153562501,4780.58156834717,3633.92953500389
"Smelter",2009,4206.50765184817,88864.792864847,4790.78754048854,3622.22776320781
"Smelter",2010,4202.53514034976,94146.6727083484,4803.92840425982,3601.1418764397
"Smelter",2011,4200.11727781216,94753.8736420865,4803.44677401091,3596.78778161341
"Smelter",2012,4196.63757257881,88372.0600576689,4779.29536744433,3613.9797777133
"Smelter",2013,4201.07696856237,89515.1811569468,4787.49108838942,3614.66284873533
"Smelter",2014,4196.90602281082,92151.3029731925,4791.89211130517,3601.91993431646
"Smelter",2015,4199.05603110161,92554.3657521359,4795.34191176071,3602.7701504425
"Smelter",2016,4197.6116396746,88241.1477137561,4779.83770664272,3615.38557270648
"Smelter",2017,4196.47118530758,90604.2381224392,4786.4417279376,3606.50064267756
"Smelter",2018,4195.57893036545,91433.5353357397,4788.24331207383,3602.91454865707
"Smelter",2019,4193.11128346297,93115.8931210489,4791.20326218683,3595.01930473911
"Smelter",2020,4196.41261066515,94938.8381774749,4800.33068519396,3592.49453613634
