"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,-0.00148204767743254,-1,Inf,"-0.1%","-100%","Inf%"
"Armenia",2009,0.000369356167538637,-0.873656891098854,1.68724811912157,"0%","-87.4%","168.7%"
"Aruba",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Australia",2009,-0.00022568255739186,-0.413154908459436,0.522879348223465,"0%","-41.3%","52.3%"
"Bangladesh",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Belarus",2009,-0.000732279438862671,-1,2.95448779130391,"-0.1%","-100%","295.4%"
"Bosnia and Herzegovina",2009,0.00580818212971379,-1,Inf,"0.6%","-100%","Inf%"
"Botswana",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Brazil",2009,-0.00241504818167348,-0.599330227735979,0.840313377614844,"-0.2%","-59.9%","84%"
"Bulgaria",2009,0.00160679754960813,3.17216252331304,Inf,"0.2%","317.2%","Inf%"
"Canada",2009,-0.00138551914847473,-0.457028392805155,0.579653817298538,"-0.1%","-45.7%","58%"
"Chile",2009,0.00102352285908891,-0.980903080998446,2.44594560658447,"0.1%","-98.1%","244.6%"
"China",2009,-0.00761861849522472,-0.365824672216615,0.434353884730168,"-0.8%","-36.6%","43.4%"
"Colombia",2009,-0.00182958223263108,-0.919186063851961,1.91452254778361,"-0.2%","-91.9%","191.5%"
"Croatia",2009,-0.00108152060490507,-0.872824892284977,1.54333601896596,"-0.1%","-87.3%","154.3%"
"Cuba",2009,2.65306041848934e-05,-0.285064545651324,0.333109623878676,"0%","-28.5%","33.3%"
"Curacao",2009,0.0011791875703433,-0.808778605043898,1.42629321022702,"0.1%","-80.9%","142.6%"
"Cyprus",2009,-0.00163643599234176,-1,Inf,"-0.2%","-100%","Inf%"
"Czech Republic",2009,0.00438304628632102,-1,Inf,"0.4%","-100%","Inf%"
"Egypt",2009,0.00339098101915636,-0.824306836896403,1.51326910014457,"0.3%","-82.4%","151.3%"
"Estonia",2009,0.00709053942198601,-1,Inf,"0.7%","-100%","Inf%"
"France",2009,0.00128767127418783,-1,Inf,"0.1%","-100%","Inf%"
