"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,-0.00148204767743254,-1,Inf,"-0.1%","-100%","Inf%"
"Armenia","Smelter",2009,0.000369356167538637,-0.873656891098854,1.68724811912157,"0%","-87.4%","168.7%"
"Aruba","Oil & Gas",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Australia","Coal",2009,-0.000464643650967433,-0.377260083303981,0.4647761970067,"0%","-37.7%","46.5%"
"Australia","Smelter",2009,0.000511507822308577,-0.994479726064635,2.75734606256856,"0.1%","-99.4%","275.7%"
"Bangladesh","Coal",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Belarus","Oil & Gas",2009,-0.000732279438862671,-1,2.95448779130391,"-0.1%","-100%","295.4%"
"Bosnia and Herzegovina","Coal",2009,0.00580818212971379,-1,Inf,"0.6%","-100%","Inf%"
"Botswana","Coal",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Botswana","Smelter",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Brazil","Oil & Gas",2009,-0.016628606662899,-1,Inf,"-1.7%","-100%","Inf%"
"Brazil","Smelter",2009,0.000141160837526133,-0.465010771792313,0.610714126148268,"0%","-46.5%","61.1%"
"Bulgaria","Coal",2009,0.00160679754960813,3.17216252331304,Inf,"0.2%","317.2%","Inf%"
"Canada","Coal",2009,-0.00142131822444547,-0.691656147149209,1.05254012144606,"-0.1%","-69.2%","105.3%"
"Canada","Oil & Gas",2009,0.00168843242093519,-0.948905531881399,1.9710087732594,"0.2%","-94.9%","197.1%"
"Canada","Smelter",2009,-0.00240805880223371,-0.652991234605512,0.947047655520936,"-0.2%","-65.3%","94.7%"
"Chile","Smelter",2009,0.00102352285908891,-0.980903080998446,2.44594560658447,"0.1%","-98.1%","244.6%"
"China","Coal",2009,-0.00778160315906751,-0.3821122953589,0.459278933321328,"-0.8%","-38.2%","45.9%"
"China","Oil & Gas",2009,-0.00860804740619381,-1,Inf,"-0.9%","-100%","Inf%"
"China","Smelter",2009,-0.00501600486355047,-0.900202139794622,1.83625657789398,"-0.5%","-90%","183.6%"
"Colombia","Oil & Gas",2009,-0.00182958223263108,-0.919186063851961,1.91452254778361,"-0.2%","-91.9%","191.5%"
"Croatia","Coal",2009,-0.00108152060490507,-0.872824892284977,1.54333601896596,"-0.1%","-87.3%","154.3%"
"Cuba","Oil & Gas",2009,-0.000345677051960758,-0.389358832195586,0.48453167167387,"0%","-38.9%","48.5%"
"Cuba","Smelter",2009,0.000453976143434121,-0.396471553778108,0.497859041220803,"0%","-39.6%","49.8%"
"Curacao","Oil & Gas",2009,0.0011791875703433,-0.808778605043898,1.42629321022702,"0.1%","-80.9%","142.6%"
"Cyprus","Oil & Gas",2009,-0.00163643599234176,-1,Inf,"-0.2%","-100%","Inf%"
"Czech Republic","Coal",2009,0.00438304628632102,-1,Inf,"0.4%","-100%","Inf%"
"Egypt","Oil & Gas",2009,0.00339098101915636,-0.824306836896403,1.51326910014457,"0.3%","-82.4%","151.3%"
"Estonia","Oil & Gas",2009,0.00709053942198601,-1,Inf,"0.7%","-100%","Inf%"
"France","Coal",2009,0.00150900879850435,-1,Inf,"0.2%","-100%","Inf%"
"France","Oil & Gas",2009,0.00120781047753193,-1,Inf,"0.1%","-100%","Inf%"
"Georgia","Smelter",2009,0.00231701914686622,-1,Inf,"0.2%","-100%","Inf%"
"Germany","Coal",2009,0.00276877774115203,-0.808667069953251,1.38141719564851,"0.3%","-80.9%","138.1%"
"Greece","Coal",2009,0.0187986703371796,-1,Inf,"1.9%","-100%","Inf%"
"Greece","Oil & Gas",2009,-0.000512150657506316,-0.690702673886991,1.06602759567593,"-0.1%","-69.1%","106.6%"
"Guatemala","Oil & Gas",2009,0.000484563039027774,-0.580121258517963,0.806755599883902,"0%","-58%","80.7%"
"Honduras","Oil & Gas",2009,0.00104696890963707,-0.950530574658093,2.09173442301069,"0.1%","-95.1%","209.2%"
"India","Coal",2009,0.000786866009477638,-0.342221377009839,0.417146232596518,"0.1%","-34.2%","41.7%"
"India","Oil & Gas",2009,0.0102348539389203,-1,Inf,"1%","-100%","Inf%"
"India","Smelter",2009,0.001450279500536,-1,Inf,"0.1%","-100%","Inf%"
"Indonesia","Coal",2009,6.00577211240516e-05,-0.602210705900686,0.878698399959706,"0%","-60.2%","87.9%"
"Indonesia","Smelter",2009,0.00170098714120415,-0.715318401411236,1.16891733120537,"0.2%","-71.5%","116.9%"
"Iran","Coal",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Iran","Oil & Gas",2009,0.00198552735253843,-1,Inf,"0.2%","-100%","Inf%"
"Iran","Smelter",2009,-0.0034344294568297,-1,Inf,"-0.3%","-100%","Inf%"
"Iraq","Oil & Gas",2009,0.0060084156820035,-1,Inf,"0.6%","-100%","Inf%"
"Israel","Coal",2009,0.00343606658817586,-0.97389973376722,2.24664981104567,"0.3%","-97.4%","224.7%"
"Italy","Coal",2009,0.00414211281880417,-1,Inf,"0.4%","-100%","Inf%"
"Italy","Oil & Gas",2009,0.00419283777355539,-1,Inf,"0.4%","-100%","Inf%"
"Jamaica","Smelter",2009,0.000257307036785503,-1,Inf,"0%","-100%","Inf%"
"Jordan","Oil & Gas",2009,0.00189679634839424,-0.949419261304398,2.15160748316549,"0.2%","-94.9%","215.2%"
"Kazakhstan","Coal",2009,-0.00050988110200656,-0.306285070622429,0.358622948903702,"-0.1%","-30.6%","35.9%"
"Kazakhstan","Oil & Gas",2009,-0.000141471998038933,-0.686564714756399,1.02729307104244,"0%","-68.7%","102.7%"
"Kazakhstan","Smelter",2009,-0.0104985729755219,-0.684706346120785,1.12506142757322,"-1%","-68.5%","112.5%"
"Kuwait","Oil & Gas",2009,0.000356389265284029,-1,Inf,"0%","-100%","Inf%"
"Lebanon","Oil & Gas",2009,0.00492404289062187,-1,Inf,"0.5%","-100%","Inf%"
"Macedonia (FYROM)","Coal",2009,-0.00123615722135517,-0.889230895110326,1.64572836104624,"-0.1%","-88.9%","164.6%"
"Mali","Smelter",2009,0.00323957050586254,-1,Inf,"0.3%","-100%","Inf%"
"Mexico","Coal",2009,-0.000342736977720581,-0.595718166570262,0.866030217695039,"0%","-59.6%","86.6%"
"Mexico","Oil & Gas",2009,6.32604355261801e-05,-0.495375902007639,0.666962930720478,"0%","-49.5%","66.7%"
"Mexico","Smelter",2009,-0.00164339153611615,-1,Inf,"-0.2%","-100%","Inf%"
"Morocco","Coal",2009,-1.21471591428834e-05,-0.628187370775204,0.930619013580861,"0%","-62.8%","93.1%"
"Morocco","Oil & Gas",2009,0.00317746875433,-1,Inf,"0.3%","-100%","Inf%"
"Namibia","Smelter",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Oman","Oil & Gas",2009,NA,-1,Inf,"NaN%","-100%","Inf%"
"Pakistan","Coal",2009,-0.000770445252481933,-0.715405818758822,1.15253419143635,"-0.1%","-71.5%","115.3%"
"Pakistan","Oil & Gas",2009,0.00231934207755335,-1,Inf,"0.2%","-100%","Inf%"
"Pakistan","Smelter",2009,-0.000307067238134007,-0.479219440888817,0.621370009560259,"0%","-47.9%","62.1%"
"Peru","Smelter",2009,-0.0165164027631017,-1,Inf,"-1.7%","-100%","Inf%"
"Poland","Coal",2009,-0.00161919746229477,-0.620786999944794,0.89921325755406,"-0.2%","-62.1%","89.9%"
"Portugal","Coal",2009,-0.000925710274072955,-1,Inf,"-0.1%","-100%","Inf%"
"Puerto Rico","Coal",2009,0.00100567073101132,-1,Inf,"0.1%","-100%","Inf%"
"Puerto Rico","Oil & Gas",2009,7.09587986191806e-05,-0.908233168543101,1.86596314260738,"0%","-90.8%","186.6%"
"Qatar","Oil & Gas",2009,-0.000622416967299477,-1,Inf,"-0.1%","-100%","Inf%"
"Romania","Coal",2009,0.00314760384505264,-1,Inf,"0.3%","-100%","Inf%"
"Romania","Smelter",2009,-0.00381830530125071,-1,Inf,"-0.4%","-100%","Inf%"
"Russia","Coal",2009,-0.0010372272182988,-0.368562842554595,0.439895512146661,"-0.1%","-36.9%","44%"
"Russia","Oil & Gas",2009,0.000911730718628156,-0.323470859130641,0.384428281558896,"0.1%","-32.3%","38.4%"
"Russia","Smelter",2009,0.00058690474177947,-0.22399338571229,0.253335210160594,"0.1%","-22.4%","25.3%"
"Saudi Arabia","Oil & Gas",2009,3.76710375957767e-05,-0.762277204783981,1.30400917705145,"0%","-76.2%","130.4%"
"Serbia","Coal",2009,0.000744665454914362,-0.908332786671015,1.9082158137995,"0.1%","-90.8%","190.8%"
"Serbia","Smelter",2009,0.00757178022177363,-1,Inf,"0.8%","-100%","Inf%"
"Singapore","Oil & Gas",2009,-0.000831792740863313,-0.845207077082886,1.61253553131129,"-0.1%","-84.5%","161.3%"
"Slovakia","Coal",2009,-0.0059225360659948,-1,Inf,"-0.6%","-100%","Inf%"
"South Africa","Coal",2009,-0.00116666529537734,-0.843213753130518,1.58937524083421,"-0.1%","-84.3%","158.9%"
"South Africa","Smelter",2009,-0.0015423465702572,-1,Inf,"-0.2%","-100%","Inf%"
"South Korea","Oil & Gas",2009,-4.75997519631122e-05,-0.476727420042552,0.631005246630901,"0%","-47.7%","63.1%"
"Spain","Coal",2009,-0.00655937143237229,-0.776528643939395,1.36655134235728,"-0.7%","-77.7%","136.7%"
"Syria","Oil & Gas",2009,0.00274579875626646,-1,Inf,"0.3%","-100%","Inf%"
"Taiwan","Oil & Gas",2009,-0.00021715981270698,-0.627646368108713,0.914118190224716,"0%","-62.8%","91.4%"
"Thailand","Coal",2009,0.002541188549259,-0.683877851860927,1.06628747109274,"0.3%","-68.4%","106.6%"
"Trinidad","Oil & Gas",2009,0.00063535191809394,-0.756091986695593,1.21342401538117,"0.1%","-75.6%","121.3%"
"Turkey","Coal",2009,0.00228560988371873,-0.785455232531329,1.38413663483133,"0.2%","-78.5%","138.4%"
"Turkey","Oil & Gas",2009,0.00528894289265414,-1,Inf,"0.5%","-100%","Inf%"
"Turkmenistan","Oil & Gas",2009,-0.0490891452025443,-1,Inf,"-4.9%","-100%","Inf%"
"UK","Coal",2009,0.00195861520514873,-0.988155739841383,2.48572796526853,"0.2%","-98.8%","248.6%"
"USA","Coal",2009,-0.00793674451842608,-0.396831681414091,0.475402458258593,"-0.8%","-39.7%","47.5%"
"Ukraine","Coal",2009,-0.000632590611523209,-0.384197478498949,0.476111894938559,"-0.1%","-38.4%","47.6%"
"Ukraine","Oil & Gas",2009,-0.00630973737712215,-1,2.87131582066268,"-0.6%","-100%","287.1%"
"Ukraine","Smelter",2009,-0.00148782788248147,-0.813227357271208,1.32817154757077,"-0.1%","-81.3%","132.8%"
"United Arab Emirates","Oil & Gas",2009,-0.0010381785957384,-1,Inf,"-0.1%","-100%","Inf%"
"Uzbekistan","Oil & Gas",2009,-0.00324821637050099,-1,Inf,"-0.3%","-100%","Inf%"
"Uzbekistan","Smelter",2009,-0.000415480773378829,-0.677629947724044,1.05788507595533,"0%","-67.8%","105.8%"
"Venezuela","Coal",2009,0.00873504881361753,-1,Inf,"0.9%","-100%","Inf%"
"Venezuela","Oil & Gas",2009,-0.000162106210673474,-1,Inf,"0%","-100%","Inf%"
"Zambia","Smelter",2009,0.00812187714960544,-1,Inf,"0.8%","-100%","Inf%"
"Zimbabwe","Coal",2009,-0.000957661840976343,-0.729158113950269,1.18292203914665,"-0.1%","-72.9%","118.3%"
"Albania","Oil & Gas",2010,-0.000966997105025791,-1,Inf,"-0.1%","-100%","Inf%"
"Armenia","Smelter",2010,-0.000402296835768201,-0.890065690580406,1.78084950440211,"0%","-89%","178.1%"
"Aruba","Oil & Gas",2010,NA,-1,Inf,"NaN%","-100%","Inf%"
"Australia","Coal",2010,0.000312026722091963,-0.386842204912375,0.480260569407404,"0%","-38.7%","48%"
