"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,-0.00022568255739186,-0.413154908459436,0.522879348223465,"0%","-41.3%","52.3%"
"China",2009,-0.00761861849522472,-0.365824672216615,0.434353884730168,"-0.8%","-36.6%","43.4%"
"Europe",2009,-3.43754350250469e-05,-0.264315680329709,0.305125454195364,"0%","-26.4%","30.5%"
"India",2009,0.000856027860681507,-0.336433889756701,0.40878240713872,"0.1%","-33.6%","40.9%"
"Mexico",2009,-4.79613735311357e-05,-0.412478903472504,0.523651181158297,"0%","-41.2%","52.4%"
"Russia",2009,0.000427244508095725,-0.178164135755018,0.196157551945131,"0%","-17.8%","19.6%"
"Saudi Arabia",2009,3.76710375957767e-05,-0.762277204783981,1.30400917705145,"0%","-76.2%","130.4%"
"South Africa",2009,-0.00119179251329515,-0.802893623572706,1.43402948497919,"-0.1%","-80.3%","143.4%"
"Australia",2010,5.86095881860427e-05,-0.4193884082152,0.533027716392675,"0%","-41.9%","53.3%"
"China",2010,0.00237999694066193,-0.361084345254088,0.447081794499854,"0.2%","-36.1%","44.7%"
"Europe",2010,-0.0014676484092242,-0.2707308254647,0.309586767124829,"-0.1%","-27.1%","31%"
"India",2010,-0.000121065130920028,-0.33841366470025,0.408930628195632,"0%","-33.8%","40.9%"
"Mexico",2010,-0.000451793400066625,-0.408893007697757,0.520089896242162,"0%","-40.9%","52%"
"Russia",2010,-0.000869201510168893,-0.186512344863414,0.203360019426193,"-0.1%","-18.7%","20.3%"
"Saudi Arabia",2010,-0.000216500774719575,-0.763713960191012,1.30473303686014,"0%","-76.4%","130.5%"
"South Africa",2010,2.08066457707545e-06,-0.802877159181819,1.44276268645511,"0%","-80.3%","144.3%"
"Australia",2011,3.09601597239251e-05,-0.42609400207362,0.54425665554661,"0%","-42.6%","54.4%"
"China",2011,0.000886151040902838,-0.375035649800206,0.461840866162576,"0.1%","-37.5%","46.2%"
"Europe",2011,0.000391384179830423,-0.275161506053797,0.320343159241848,"0%","-27.5%","32%"
"India",2011,0.000239967096625771,-0.339409468124148,0.411620057568011,"0%","-33.9%","41.2%"
"Mexico",2011,0.000165266312511347,-0.405311512817477,0.513138419890097,"0%","-40.5%","51.3%"
"Russia",2011,-0.000284128171738951,-0.18962691754824,0.209318963434997,"0%","-19%","20.9%"
"Saudi Arabia",2011,0.000638928958259566,-0.764243183503041,1.31248103802216,"0.1%","-76.4%","131.2%"
"South Africa",2011,0.000216229321031491,-0.802574612008282,1.4401999832473,"0%","-80.3%","144%"
"Australia",2012,-0.000604449739544766,-0.4254095599898,0.546403154949065,"-0.1%","-42.5%","54.6%"
"China",2012,-0.00135143469840537,-0.37830856175539,0.469486190894175,"-0.1%","-37.8%","46.9%"
"Europe",2012,-0.000125379296604833,-0.271881684047441,0.317673066262956,"0%","-27.2%","31.8%"
"India",2012,-0.000283970498805131,-0.33966967970435,0.411108984409263,"0%","-34%","41.1%"
"Mexico",2012,0.000678717308786991,-0.404124045270258,0.512961636533405,"0.1%","-40.4%","51.3%"
"Russia",2012,-0.000522968678374647,-0.185639673975097,0.204935830597016,"-0.1%","-18.6%","20.5%"
"Saudi Arabia",2012,-0.000958177275970362,-0.763343091809769,1.30684644613757,"-0.1%","-76.3%","130.7%"
"South Africa",2012,0.00034095819779667,-0.802594093777921,1.44132252628356,"0%","-80.3%","144.1%"
"Australia",2013,0.0004814016693373,-0.420554471137883,0.539763317208749,"0%","-42.1%","54%"
"China",2013,-0.00564575335351791,-0.371141752112206,0.448610356441015,"-0.6%","-37.1%","44.9%"
"Europe",2013,-0.00150149054960058,-0.266817700085488,0.306198796381369,"-0.2%","-26.7%","30.6%"
"India",2013,0.000322198447707756,-0.339085331140238,0.411478074194768,"0%","-33.9%","41.1%"
"Mexico",2013,0.000149706670945049,-0.405025883783802,0.511882443937843,"0%","-40.5%","51.2%"
"Russia",2013,0.00187810564097113,-0.180850006119345,0.203203323589635,"0.2%","-18.1%","20.3%"
"Saudi Arabia",2013,-0.000328341456360848,-0.762141373243595,1.30303575711479,"0%","-76.2%","130.3%"
"South Africa",2013,-0.000414962726048906,-0.801423488649208,1.43782783075113,"0%","-80.1%","143.8%"
"Australia",2014,-0.000396525882122911,-0.417727145020301,0.533257245675104,"0%","-41.8%","53.3%"
"China",2014,-0.000944638581908408,-0.358689161133297,0.440210856493072,"-0.1%","-35.9%","44%"
"Europe",2014,3.92106204252229e-05,-0.265631418996671,0.307205011768687,"0%","-26.6%","30.7%"
"India",2014,0.000539728247857418,-0.339546602715168,0.412462129475326,"0.1%","-34%","41.2%"
"Mexico",2014,-0.00133627010768489,-0.408784836643898,0.51373094382526,"-0.1%","-40.9%","51.4%"
"Russia",2014,-0.00130399949083526,-0.186784646146217,0.203075939182354,"-0.1%","-18.7%","20.3%"
"Saudi Arabia",2014,-0.000370586057362843,-0.762253164691259,1.30201289653795,"0%","-76.2%","130.2%"
"South Africa",2014,-0.000214538219109328,-0.799869669136893,1.43129959428133,"0%","-80%","143.1%"
"Australia",2015,0.000226088594126539,-0.414708846976906,0.529187846658564,"0%","-41.5%","52.9%"
"China",2015,-0.00312635897111457,-0.351001028746973,0.423667883502647,"-0.3%","-35.1%","42.4%"
"Europe",2015,-0.000178870434905165,-0.270697393807035,0.312537238854999,"0%","-27.1%","31.3%"
"India",2015,1.26901168451266e-05,-0.34063232244122,0.412899980640496,"0%","-34.1%","41.3%"
"Mexico",2015,0.000846756593202214,-0.412149346703521,0.523843994885613,"0.1%","-41.2%","52.4%"
"Russia",2015,0.000753863485360329,-0.18893292259928,0.210419508460857,"0.1%","-18.9%","21%"
"Saudi Arabia",2015,0.000450901027446049,-0.763575864884954,1.30647105637132,"0%","-76.4%","130.6%"
"South Africa",2015,0.00057859186700826,-0.799561177684214,1.43026785157236,"0.1%","-80%","143%"
"Australia",2016,-0.000944505918427985,-0.415567731257761,0.526366328739255,"-0.1%","-41.6%","52.6%"
"China",2016,-0.00102892425015311,-0.342179966161905,0.414462954977878,"-0.1%","-34.2%","41.4%"
"Europe",2016,-0.00284775126151571,-0.278905616759222,0.317753664233287,"-0.3%","-27.9%","31.8%"
"India",2016,0.00110478495078925,-0.340800747331605,0.415612537401898,"0.1%","-34.1%","41.6%"
"Mexico",2016,0.000714433497187139,-0.413838605371403,0.528668661717276,"0.1%","-41.4%","52.9%"
"Russia",2016,7.32207499722914e-05,-0.187812865343951,0.208626621745444,"0%","-18.8%","20.9%"
"Saudi Arabia",2016,0.00149958657879279,-0.767332851290522,1.31771512168854,"0.1%","-76.7%","131.8%"
"South Africa",2016,-0.000516675663580712,-0.799308129709717,1.42838506027917,"-0.1%","-79.9%","142.8%"
"Australia",2017,0.000214877441844452,-0.416007019405328,0.530290138899482,"0%","-41.6%","53%"
"China",2017,-0.00313590623654181,-0.338989769050451,0.404124424443284,"-0.3%","-33.9%","40.4%"
"Europe",2017,0.00178807266136127,-0.277195346247016,0.327571950057914,"0.2%","-27.7%","32.8%"
"India",2017,-0.00018354419397637,-0.342729181621473,0.415397722459271,"0%","-34.3%","41.5%"
"Mexico",2017,-0.00277392723908587,-0.410972855030023,0.517757393544951,"-0.3%","-41.1%","51.8%"
"Russia",2017,-0.000663686622355719,-0.188023585975711,0.206071975741767,"-0.1%","-18.8%","20.6%"
"Saudi Arabia",2017,-0.000443202656713049,-0.771889383859505,1.32881772834432,"0%","-77.2%","132.9%"
"South Africa",2017,0.000142648111237875,-0.79869134943974,1.426635061121,"0%","-79.9%","142.7%"
"Australia",2018,-0.000400003106533431,-0.417863038868659,0.531323948601577,"0%","-41.8%","53.1%"
"China",2018,9.47364006498308e-05,-0.33438194184535,0.404491579372717,"0%","-33.4%","40.4%"
"Europe",2018,-0.00180551623830016,-0.277885299094761,0.320377518907766,"-0.2%","-27.8%","32%"
"India",2018,-0.000258928211271159,-0.34319850573149,0.416219039603213,"0%","-34.3%","41.6%"
"Mexico",2018,-0.000375233726656266,-0.402985762469875,0.510073040086584,"0%","-40.3%","51%"
"Russia",2018,-0.000179434135713641,-0.189214221145726,0.209146613151195,"0%","-18.9%","20.9%"
"Saudi Arabia",2018,-0.000604865283894807,-0.77126835120226,1.33552093330911,"-0.1%","-77.1%","133.6%"
"South Africa",2018,-0.00033230057376521,-0.799310478625954,1.42586762428019,"0%","-79.9%","142.6%"
"Australia",2019,0.000463922355248725,-0.417879375602869,0.534453528392544,"0%","-41.8%","53.4%"
"China",2019,0.000691110697446762,-0.332904143011103,0.403519923717933,"0.1%","-33.3%","40.4%"
"Europe",2019,0.00173175581985507,-0.274567970009065,0.323483024009618,"0.2%","-27.5%","32.3%"
"India",2019,0.000735074499460975,-0.342047569236736,0.417104395274797,"0.1%","-34.2%","41.7%"
"Mexico",2019,-0.000526763149019116,-0.400540121158907,0.503810828237658,"-0.1%","-40.1%","50.4%"
"Russia",2019,-0.000628472731115215,-0.191271102696252,0.21019407510387,"-0.1%","-19.1%","21%"
"Saudi Arabia",2019,0.000266347863046246,-0.769252812442125,1.32811828638857,"0%","-76.9%","132.8%"
"South Africa",2019,0.00061317526042548,-0.798155888119943,1.4295296282976,"0.1%","-79.8%","143%"
"Australia",2020,-0.000928094498503951,-0.418667502931639,0.531959551598011,"-0.1%","-41.9%","53.2%"
"China",2020,-0.000620419684731699,-0.333619078037649,0.401190908309103,"-0.1%","-33.4%","40.1%"
"Europe",2020,-0.00195777416697218,-0.278500934259641,0.320016026707706,"-0.2%","-27.9%","32%"
"India",2020,-0.00107685567775873,-0.343200885447587,0.414105199194362,"-0.1%","-34.3%","41.4%"
"Mexico",2020,0.00111278404160342,-0.399507489755765,0.506098304810835,"0.1%","-40%","50.6%"
"Russia",2020,0.000637051127540866,-0.193659290319616,0.215930160709599,"0.1%","-19.4%","21.6%"
"Saudi Arabia",2020,-0.00108214221308156,-0.770126942149794,1.3238037270147,"-0.1%","-77%","132.4%"
"South Africa",2020,0.000165764930741386,-0.797038167675489,1.42154703853835,"0%","-79.7%","142.2%"
