"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,36961.7470526305,431705.754479529,38249.5517064536,35673.9423988073
"Coal",2009,28094.9494033157,419588.236682837,29364.5517702168,26825.3470364146
"Coal",2010,28576.1924400693,451941.581316792,29893.8338096333,27258.5510705052
"Coal",2011,29056.2835682084,479251.213476756,30413.1518233063,27699.4153131106
"Coal",2012,27720.006193002,428294.252508943,29002.7123949198,26437.2999910842
"Coal",2013,24536.7477053219,414171.908669237,25798.1290133901,23275.3663972538
"Coal",2014,22909.7502702887,414697.386064074,24171.9315085836,21647.5690319938
"Coal",2015,19871.5507550355,421279.370896912,21143.7090907931,18599.3924192779
"Coal",2016,18435.9650994312,421632.635364701,19708.6567085876,17163.2734902749
"Coal",2017,17322.3760022131,413701.949076908,18583.0414644091,16061.7105400171
"Coal",2018,16234.4746971892,421298.018628126,17506.6611883774,14962.288206001
"Coal",2019,17062.3424994229,430126.033102778,18347.7887910927,15776.8962077531
"Coal",2020,16285.8412064577,472992.437748396,17633.8203416279,14937.8620712875
"Oil & Gas",2008,11557.3598099087,162325.404636316,12347.0364997323,10767.683120085
"Oil & Gas",2009,11470.2201887365,162290.387076338,12259.811697678,10680.6286797951
"Oil & Gas",2010,10673.622392331,169214.774247644,11479.8825716464,9867.36221301554
"Oil & Gas",2011,11312.3055228717,195022.509785899,12177.868041465,10446.7430042785
"Oil & Gas",2012,10408.6928387429,171806.342954746,11221.1036012855,9596.28207620039
"Oil & Gas",2013,10126.3023729719,169405.912570388,10933.017783591,9319.58696235271
"Oil & Gas",2014,9959.00706727119,164678.075808629,10754.3857796004,9163.628354942
"Oil & Gas",2015,9889.2685793405,175123.235654221,10709.4840523043,9069.05310637668
"Oil & Gas",2016,11378.950620026,180904.250444986,12212.5942900131,10545.306950039
"Oil & Gas",2017,10719.4007162909,178645.001773762,11547.8224922083,9890.97894037354
"Oil & Gas",2018,9800.01228456297,173020.978615642,10615.2897780889,8984.73479103708
"Oil & Gas",2019,10035.7562836297,182117.803258902,10872.1914293519,9199.32113790743
"Oil & Gas",2020,9469.67030083002,203825.298172432,10354.5517988054,8584.7888028546
"Smelter",2008,7680.59914510885,93427.0120661931,8279.68946346951,7081.50882674818
"Smelter",2009,7125.52517958851,95369.9912056899,7730.81301047212,6520.23734870491
"Smelter",2010,6782.65441169588,105070.642891046,7417.98061273771,6147.32821065405
"Smelter",2011,6760.76908531997,109137.899019813,7408.27518789701,6113.26298274293
"Smelter",2012,6520.14504164111,99867.2094478497,7139.53980414307,5900.75027913915
"Smelter",2013,6106.63809775471,98641.9116648902,6722.22137226096,5491.05482324846
"Smelter",2014,6276.58633301581,101214.751884506,6900.14594591543,5653.02672011619
"Smelter",2015,6309.84515970686,105320.607488352,6945.92663697785,5673.76368243586
"Smelter",2016,5823.30794321881,96855.344535438,6433.29113279647,5213.32475364115
"Smelter",2017,5659.07088271433,100572.093442098,6280.6477115675,5037.49405386116
"Smelter",2018,5588.76047051164,104188.737445044,6221.41476297229,4956.106178051
"Smelter",2019,5544.09474634087,108690.505436903,6190.27231147788,4897.91718120385
"Smelter",2020,5724.9034518475,115823.531678627,6391.94743787587,5057.85946581913
