"year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
2009,-0.1692003733029,-0.206280292319381,-0.131411304653723,"-16.9%","-20.6%","-13.1%"
2010,-0.0140975740618973,-0.0629046645221362,0.0359108510128461,"-1.4%","-6.3%","3.6%"
2011,0.0238285920854593,-0.0284187331446991,0.0774523057424046,"2.4%","-2.8%","7.7%"
2012,-0.0526320365690058,-0.101254560852124,-0.00269880997825789,"-5.3%","-10.1%","-0.3%"
2013,-0.0868814406698124,-0.13565737529566,-0.0368478500634905,"-8.7%","-13.6%","-3.7%"
2014,-0.0398419653949439,-0.0941040874984925,0.0159661934553916,"-4%","-9.4%","1.6%"
2015,-0.0785452083999457,-0.134402784506739,-0.0210819640382932,"-7.9%","-13.4%","-2.1%"
2016,-0.0119887126414795,-0.0749100932476383,0.0530236816501608,"-1.2%","-7.5%","5.3%"
2017,-0.0543623071619792,-0.116519580330942,0.00983839969049249,"-5.4%","-11.7%","1%"
2018,-0.0616483055126306,-0.127092489716814,0.00604267761911403,"-6.2%","-12.7%","0.6%"
2019,0.0322214244020245,-0.0414385211232426,0.108711485706249,"3.2%","-4.1%","10.9%"
2020,-0.0355913143279448,-0.106985951883083,0.0383645766672154,"-3.6%","-10.7%","3.8%"
