"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,-0.306814655349245,-1,Inf,"-30.7%","-100%","Inf%"
"Armenia","Smelter",2009,0.0174818148157796,-1,Inf,"1.7%","-100%","Inf%"
"Aruba","Oil & Gas",2009,0.024163013997722,-0.429703339398186,0.605169224974648,"2.4%","-43%","60.5%"
"Australia","Coal",2009,-0.0675146606959811,-0.523526043978453,0.527992485835199,"-6.8%","-52.4%","52.8%"
"Australia","Smelter",2009,-0.0110129488130531,-0.39652466444345,0.472049343480869,"-1.1%","-39.7%","47.2%"
"Bangladesh","Coal",2009,0.0554338910221666,-1,Inf,"5.5%","-100%","Inf%"
"Belarus","Oil & Gas",2009,-0.0137594631662968,-1,Inf,"-1.4%","-100%","Inf%"
"Bosnia and Herzegovina","Coal",2009,0.647659710503379,-0.301120686256854,2.27242119565774,"64.8%","-30.1%","227.2%"
"Botswana","Coal",2009,-0.271075301653829,-1,1.12466153887992,"-27.1%","-100%","112.5%"
"Botswana","Smelter",2009,-0.282163524721147,-0.570597047608984,0.0518142843829141,"-28.2%","-57.1%","5.2%"
"Brazil","Oil & Gas",2009,-0.870218135060471,-1,Inf,"-87%","-100%","Inf%"
"Brazil","Smelter",2009,0.00653095551459537,-0.874657623846883,1.59424294730137,"0.7%","-87.5%","159.4%"
"Bulgaria","Coal",2009,-0.147728982819642,-0.387565067384482,0.129331599820536,"-14.8%","-38.8%","12.9%"
"Canada","Coal",2009,-0.221486058061055,-0.922198383686278,0.972968611497238,"-22.1%","-92.2%","97.3%"
"Canada","Oil & Gas",2009,-0.165254352392113,-1,1.61202401996711,"-16.5%","-100%","161.2%"
"Canada","Smelter",2009,-0.0786994142933121,-0.487870787540018,0.442446855641379,"-7.9%","-48.8%","44.2%"
"Chile","Smelter",2009,0.114213405700235,-0.745956569853749,1.70219822297855,"11.4%","-74.6%","170.2%"
"China","Coal",2009,-0.372655943529847,-0.415418125294495,-0.328933925965976,"-37.3%","-41.5%","-32.9%"
"China","Oil & Gas",2009,-0.598510256557201,-0.892510932711887,-0.257955609149722,"-59.9%","-89.3%","-25.8%"
"China","Smelter",2009,-0.107408690579613,-0.376990679097476,0.208274264919963,"-10.7%","-37.7%","20.8%"
"Colombia","Oil & Gas",2009,-0.248128645589494,-1,Inf,"-24.8%","-100%","Inf%"
"Croatia","Coal",2009,-0.171221057703001,-1,Inf,"-17.1%","-100%","Inf%"
"Cuba","Oil & Gas",2009,-0.0693244095302048,-0.582614030425031,0.647798183081304,"-6.9%","-58.3%","64.8%"
"Cuba","Smelter",2009,0.0203549796906397,-0.483052471671414,0.709750346117675,"2%","-48.3%","71%"
"Curacao","Oil & Gas",2009,0.290239272743633,-0.589004935568909,1.81832020945036,"29%","-58.9%","181.8%"
"Cyprus","Oil & Gas",2009,-0.257842666193745,-1,Inf,"-25.8%","-100%","Inf%"
"Czech Republic","Coal",2009,0.883172725135696,-1,Inf,"88.3%","-100%","Inf%"
"Egypt","Oil & Gas",2009,0.375064217396956,19.4805716529158,Inf,"37.5%","1948.1%","Inf%"
"Estonia","Oil & Gas",2009,0.530832962727923,18.009438935501,Inf,"53.1%","1800.9%","Inf%"
"France","Coal",2009,-0.00448195812790408,-0.986417230191285,2.46253991098625,"-0.4%","-98.6%","246.3%"
"France","Oil & Gas",2009,0.307283418292166,-1,Inf,"30.7%","-100%","Inf%"
"Georgia","Smelter",2009,0.565920961959265,-1,Inf,"56.6%","-100%","Inf%"
"Germany","Coal",2009,0.182361691582772,-0.892785252714596,2.56380284213601,"18.2%","-89.3%","256.4%"
"Greece","Coal",2009,-0.0438685554840581,-0.40044416008048,0.377314117104423,"-4.4%","-40%","37.7%"
"Greece","Oil & Gas",2009,-0.0548437736313458,-1,Inf,"-5.5%","-100%","Inf%"
"Guatemala","Oil & Gas",2009,-0.0115092001320886,-1,Inf,"-1.2%","-100%","Inf%"
"Honduras","Oil & Gas",2009,0.334969903051351,-1,Inf,"33.5%","-100%","Inf%"
"India","Coal",2009,0.173552313534231,-0.0593883803401143,0.435778568155705,"17.4%","-5.9%","43.6%"
"India","Oil & Gas",2009,0.498239150275896,-0.845236157071904,3.68596497090227,"49.8%","-84.5%","368.6%"
"India","Smelter",2009,0.275936954456141,4.55721828379017,Inf,"27.6%","455.7%","Inf%"
"Indonesia","Coal",2009,-0.0268073587837276,-0.635096251559437,0.846112941796045,"-2.7%","-63.5%","84.6%"
"Indonesia","Smelter",2009,0.355028779833464,6.5666701721738,Inf,"35.5%","656.7%","Inf%"
"Iran","Coal",2009,0.550856812165235,-0.329609153185383,1.99910158008227,"55.1%","-33%","199.9%"
"Iran","Oil & Gas",2009,-0.0780214077320229,-0.321403270354025,0.201345174035004,"-7.8%","-32.1%","20.1%"
"Iran","Smelter",2009,-0.0826512575591952,-0.457790393752796,0.379164674002911,"-8.3%","-45.8%","37.9%"
"Iraq","Oil & Gas",2009,0.380765128299758,-0.388162678797158,1.59573226676335,"38.1%","-38.8%","159.6%"
"Israel","Coal",2009,0.668658444218891,-1,Inf,"66.9%","-100%","Inf%"
"Italy","Coal",2009,0.0530263020644324,-1,Inf,"5.3%","-100%","Inf%"
