"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Australia",2009,-0.0432673337109606,-0.361515696566732,0.336877817741588,"-4.3%","-36.2%","33.7%"
"China",2009,-0.365823036757064,-0.408216015922486,-0.322482303413477,"-36.6%","-40.8%","-32.2%"
"Europe",2009,-0.109560275758124,-0.244271955034028,0.0348920513200974,"-11%","-24.4%","3.5%"
"India",2009,0.183435021648029,-0.0458837424546158,0.441145411629446,"18.3%","-4.6%","44.1%"
"Mexico",2009,-0.00735357744414544,-0.166282017362818,0.165378037642802,"-0.7%","-16.6%","16.5%"
"Russia",2009,-0.0296394004140538,-0.182029703597136,0.134977368988897,"-3%","-18.2%","13.5%"
"Saudi Arabia",2009,0.184798362049121,-0.0484943137571722,0.448910160711507,"18.5%","-4.8%","44.9%"
"South Africa",2009,-0.144309098849506,-0.289573217461917,0.013208679110903,"-14.4%","-29%","1.3%"
"Australia",2010,0.00158467208722834,-0.350895494653896,0.425782459862758,"0.2%","-35.1%","42.6%"
"China",2010,0.124755536063288,0.0394024638701274,0.213675986558555,"12.5%","3.9%","21.4%"
"Europe",2010,-0.140473073351467,-0.294160958537666,0.0253964891231833,"-14%","-29.4%","2.5%"
"India",2010,-0.064930242670075,-0.241793771453492,0.129794508088572,"-6.5%","-24.2%","13%"
"Mexico",2010,-0.175946051402399,-0.323262671926428,-0.0166158270413533,"-17.6%","-32.3%","-1.7%"
"Russia",2010,-0.0140380902576982,-0.177547786065808,0.163916671301833,"-1.4%","-17.8%","16.4%"
"Saudi Arabia",2010,-0.05323974101278,-0.231093998209105,0.142394961686478,"-5.3%","-23.1%","14.2%"
"South Africa",2010,-0.0207543953686635,-0.196954728914553,0.172748027925472,"-2.1%","-19.7%","17.3%"
"Australia",2011,0.0169606303504719,-0.354533647852523,0.472338310688373,"1.7%","-35.5%","47.2%"
"China",2011,0.0246019532160762,-0.0531585851072628,0.105387032167731,"2.5%","-5.3%","10.5%"
"Europe",2011,0.052382802161179,-0.145816722802852,0.272899245623339,"5.2%","-14.6%","27.3%"
"India",2011,0.0701457211728984,-0.135581461732391,0.298580324816163,"7%","-13.6%","29.9%"
"Mexico",2011,0.0651208649254291,-0.133920939674636,0.286371159621956,"6.5%","-13.4%","28.6%"
"Russia",2011,-0.0337623196070574,-0.200670470386365,0.14856938017484,"-3.4%","-20.1%","14.9%"
"Saudi Arabia",2011,0.0831496676007373,-0.13846881236667,0.327465787480688,"8.3%","-13.8%","32.7%"
"South Africa",2011,0.0157628464319532,-0.162302818106309,0.212828304166107,"1.6%","-16.2%","21.3%"
"Australia",2012,-0.117194603274618,-0.450492722102725,0.29232181916314,"-11.7%","-45%","29.2%"
"China",2012,-0.0090797556322666,-0.0834638076977429,0.068432449427313,"-0.9%","-8.3%","6.8%"
"Europe",2012,-0.0932494277584928,-0.263694918658368,0.094540998601625,"-9.3%","-26.4%","9.5%"
"India",2012,-0.0467796962980901,-0.225161628418119,0.151383313765814,"-4.7%","-22.5%","15.1%"
"Mexico",2012,-0.0358764865852109,-0.22591093311077,0.172305851223489,"-3.6%","-22.6%","17.2%"
"Russia",2012,0.0448083532542729,-0.1319167673326,0.239695228382197,"4.5%","-13.2%","24%"
"Saudi Arabia",2012,-0.181662847913027,-0.355525615934843,0.0137760757404057,"-18.2%","-35.6%","1.4%"
"South Africa",2012,0.0130796057401561,-0.158410875203876,0.200816832920157,"1.3%","-15.8%","20.1%"
"Australia",2013,0.138294920769024,-0.26904054705651,0.653599122015344,"13.8%","-26.9%","65.4%"
"China",2013,-0.241624466497585,-0.304839796113077,-0.176258119817746,"-24.2%","-30.5%","-17.6%"
"Europe",2013,-0.10787912283049,-0.291676447906834,0.0943967947903284,"-10.8%","-29.2%","9.4%"
"India",2013,0.0827308754278502,-0.109147261677978,0.295195944364492,"8.3%","-10.9%","29.5%"
"Mexico",2013,0.134057100314994,-0.0832123793693003,0.379470868535903,"13.4%","-8.3%","37.9%"
"Russia",2013,-0.00695011527369027,-0.169948698708304,0.170788823846982,"-0.7%","-17%","17.1%"
"Saudi Arabia",2013,0.0010016911776094,-0.217031882292937,0.244614824651548,"0.1%","-21.7%","24.5%"
"South Africa",2013,-0.0247290675825178,-0.18983993346322,0.15601868739751,"-2.5%","-19%","15.6%"
"Australia",2014,-0.114507956239537,-0.429108552085582,0.262680799596873,"-11.5%","-42.9%","26.3%"
"China",2014,-0.113378999076536,-0.198651387237015,-0.0241141553599309,"-11.3%","-19.9%","-2.4%"
"Europe",2014,-0.0631918024301223,-0.276702622438934,0.175805421909085,"-6.3%","-27.7%","17.6%"
"India",2014,0.0450914848383666,-0.130892477247748,0.238333808619571,"4.5%","-13.1%","23.8%"
"Mexico",2014,-0.169868192119859,-0.33161396261198,0.00639164447367002,"-17%","-33.2%","0.6%"
