"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,-0.306814655349543,-1,Inf,"-30.7%","-100%","Inf%"
"Armenia",2009,0.0174818148156457,-1,Inf,"1.7%","-100%","Inf%"
"Aruba",2009,0.0241630139977123,-0.988892199414546,2.46460643855108,"2.4%","-98.9%","246.5%"
"Australia",2009,-0.0432673337109253,-0.257271749167322,0.196772438723046,"-4.3%","-25.7%","19.7%"
"Bangladesh",2009,0.0554338910220855,-1,Inf,"5.5%","-100%","Inf%"
"Belarus",2009,-0.0137594631655342,-1,Inf,"-1.4%","-100%","Inf%"
"Bosnia and Herzegovina",2009,0.647659710503256,-0.311959953700855,2.27580645726841,"64.8%","-31.2%","227.6%"
"Botswana",2009,-0.27950782565951,-0.594057910490541,0.0905245061868927,"-28%","-59.4%","9.1%"
"Brazil",2009,-0.358488930038711,-0.891863829219525,0.368065063264865,"-35.8%","-89.2%","36.8%"
"Bulgaria",2009,-0.147728982819494,-0.460887142878076,0.23646749907883,"-14.8%","-46.1%","23.6%"
"Canada",2009,-0.135237638655399,-0.565388992850787,0.420481656634172,"-13.5%","-56.5%","42%"
"Chile",2009,0.114213405699975,-0.698633325315975,1.52793959930101,"11.4%","-69.9%","152.8%"
"China",2009,-0.365823036757046,-0.428558879972875,-0.300982800023877,"-36.6%","-42.9%","-30.1%"
"Colombia",2009,-0.248128645589042,-0.979604551496883,1.14431901624454,"-24.8%","-98%","114.4%"
"Croatia",2009,-0.171221057702911,-1,1.4937304328896,"-17.1%","-100%","149.4%"
"Cuba",2009,-0.0300202436312947,-0.288398572712073,0.269031485569729,"-3%","-28.8%","26.9%"
"Curacao",2009,0.290239272743716,-0.693349885571555,2.18310200371092,"29%","-69.3%","218.3%"
"Cyprus",2009,-0.25784266619407,-1,Inf,"-25.8%","-100%","Inf%"
"Czech Republic",2009,0.883172725135919,-1,Inf,"88.3%","-100%","Inf%"
"Egypt",2009,0.375064217396688,-0.48543614510162,1.85707980974412,"37.5%","-48.5%","185.7%"
"Estonia",2009,0.530832962726714,-1,Inf,"53.1%","-100%","Inf%"
"France",2009,0.125382805962549,-0.96218288403826,3.00192457101758,"12.5%","-96.2%","300.2%"
"Georgia",2009,0.565920961959506,-1,Inf,"56.6%","-100%","Inf%"
"Germany",2009,0.182361691582732,-0.884793487004348,2.44079935315933,"18.2%","-88.5%","244.1%"
"Greece",2009,-0.0451580863384132,-0.347423039973517,0.308393535386085,"-4.5%","-34.7%","30.8%"
"Guatemala",2009,-0.0115092001320787,-1,2.69994759257953,"-1.2%","-100%","270%"
"Honduras",2009,0.334969903051675,8.28483101049276,Inf,"33.5%","828.5%","Inf%"
"India",2009,0.18343502164808,0.0343780124036848,0.343877296154486,"18.3%","3.4%","34.4%"
"Indonesia",2009,0.0950713393484208,-0.39193876405505,0.745952432644755,"9.5%","-39.2%","74.6%"
"Iran",2009,-0.0435994873905093,-0.208957364004915,0.137183178628931,"-4.4%","-20.9%","13.7%"
"Iraq",2009,0.380765128300386,-0.356399590221794,1.52073829929113,"38.1%","-35.6%","152.1%"
"Israel",2009,0.668658444219224,6.03315566457273,Inf,"66.9%","603.3%","Inf%"
"Italy",2009,0.318295065651297,5.18076210158119,Inf,"31.8%","518.1%","Inf%"
"Jamaica",2009,0.0425061000573328,-0.862547549154234,1.8268081488038,"4.3%","-86.3%","182.7%"
"Jordan",2009,0.466443228764152,8.46511004461358,Inf,"46.6%","846.5%","Inf%"
"Kazakhstan",2009,-0.3000154650447,-0.56907823441654,0.0113337471934725,"-30%","-56.9%","1.1%"
"Kuwait",2009,-0.12599404622656,-0.525182368848671,0.383032824583306,"-12.6%","-52.5%","38.3%"
"Lebanon",2009,0.983327428000101,-1,Inf,"98.3%","-100%","Inf%"
"Macedonia (FYROM)",2009,-0.10649702204102,-1,1.64829157787446,"-10.6%","-100%","164.8%"
"Mali",2009,0.509286006913134,-1,Inf,"50.9%","-100%","Inf%"
"Mexico",2009,-0.00735357744415355,-0.197536139389981,0.202535655605499,"-0.7%","-19.8%","20.3%"
"Morocco",2009,0.0926940020929603,-0.424526883315636,0.789746110611454,"9.3%","-42.5%","79%"
"Namibia",2009,0.590227474180521,-1,Inf,"59%","-100%","Inf%"
"Oman",2009,-0.130103792482341,-0.941049748051428,1.57710318335589,"-13%","-94.1%","157.7%"
"Pakistan",2009,0.242079905869869,-0.249848667471824,0.894546301378649,"24.2%","-25%","89.5%"
"Peru",2009,-0.375492756333057,-0.771826042263297,0.123733480415569,"-37.5%","-77.2%","12.4%"
"Poland",2009,-0.369229505270591,-0.963034983159968,0.45774448797797,"-36.9%","-96.3%","45.8%"
"Portugal",2009,-0.215202089387248,-1,Inf,"-21.5%","-100%","Inf%"
